timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,6,WalkingGesture,Positive,-9.30,1.88,1.94,9.13,5.81,-13.06,178.31,-74.75,-48.38,0.07,0.01,0.37
20,6,WalkingGesture,Positive,-9.47,2.10,1.93,11.31,4.94,-13.00,178.94,-75.06,-48.13,-0.25,0.32,0.43
42,6,WalkingGesture,Positive,-9.72,2.11,2.15,10.00,4.19,-12.19,179.25,-75.25,-47.88,-0.11,0.17,0.30
61,6,WalkingGesture,Positive,-9.49,1.96,1.88,12.00,2.44,-10.44,179.69,-75.44,-47.69,-0.04,-0.22,0.29
82,6,WalkingGesture,Positive,-9.42,1.60,1.87,17.75,1.06,-10.44,180.19,-75.56,-47.63,0.06,-0.08,0.13
102,6,WalkingGesture,Positive,-9.37,1.71,1.92,23.25,0.44,-8.81,180.75,-75.69,-47.63,0.17,0.03,0.18
122,6,WalkingGesture,Positive,-9.35,1.97,1.71,29.81,0.81,-8.94,181.38,-75.81,-47.88,0.05,0.30,0.20
142,6,WalkingGesture,Positive,-9.56,2.14,1.68,31.25,2.75,-9.44,182.06,-76.00,-48.13,-0.03,0.32,0.08
163,6,WalkingGesture,Positive,-9.69,2.30,1.72,31.00,3.06,-10.81,182.75,-76.19,-48.38,0.05,0.45,-0.10
182,6,WalkingGesture,Positive,-9.82,2.47,1.84,29.50,5.19,-8.19,183.38,-76.37,-48.81,-0.16,0.81,0.31
203,6,WalkingGesture,Positive,-9.36,2.74,1.48,28.44,1.69,-6.25,183.94,-76.50,-49.19,0.18,1.11,0.29
222,6,WalkingGesture,Positive,-9.44,2.80,1.91,21.25,5.94,-4.44,184.31,-76.62,-49.75,0.07,1.13,0.39
242,6,WalkingGesture,Positive,-9.37,2.83,1.88,17.19,6.56,-2.19,184.56,-76.75,-50.44,-0.09,0.60,0.47
263,6,WalkingGesture,Positive,-9.78,2.91,1.86,16.31,8.94,-0.06,184.81,-76.81,-51.31,-0.24,1.03,0.72
282,6,WalkingGesture,Positive,-9.52,2.91,1.85,12.13,6.38,2.25,184.88,-76.87,-52.00,-0.06,1.10,0.73
303,6,WalkingGesture,Positive,-9.57,2.93,2.33,3.94,6.50,2.31,184.88,-76.87,-52.63,0.00,1.12,0.87
322,6,WalkingGesture,Positive,-9.55,2.61,2.33,-0.63,5.31,4.00,184.75,-76.87,-53.25,0.00,0.64,1.00
343,6,WalkingGesture,Positive,-9.59,1.25,1.92,3.81,7.19,9.44,184.63,-76.81,-54.13,-1.84,1.74,2.30
362,6,WalkingGesture,Positive,-9.32,3.69,2.20,-7.63,-14.94,14.50,184.13,-76.37,-54.06,0.23,0.20,1.05
