timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,6,Walking,Negative,-11.03,2.34,2.72,-30.44,14.06,8.06,152.00,-71.75,-78.37,-1.72,-0.66,2.10
21,6,Walking,Negative,-11.70,1.34,2.12,-11.13,3.00,11.19,151.50,-71.56,-78.50,-2.49,-2.00,1.18
43,6,Walking,Negative,-12.57,0.90,1.42,18.50,-11.50,9.94,151.81,-71.19,-78.31,-3.53,-2.13,0.74
63,6,Walking,Negative,-12.92,1.21,1.20,54.56,-23.00,5.56,152.94,-71.00,-78.19,-3.98,-0.99,0.04
84,6,Walking,Negative,-13.52,2.65,0.71,84.00,-26.62,0.19,154.63,-70.94,-78.44,-4.36,0.19,0.22
104,6,Walking,Negative,-13.54,4.02,0.82,90.81,-22.62,-7.50,156.44,-71.06,-78.87,-3.50,1.95,0.08
124,6,Walking,Negative,-12.26,5.34,0.85,74.50,-17.69,-14.44,158.00,-71.31,-79.12,-2.34,2.42,0.44
144,6,Walking,Negative,-10.94,5.53,1.03,42.13,-9.38,-21.62,159.06,-71.69,-79.12,-0.44,2.11,0.37
164,6,Walking,Negative,-9.28,4.86,0.97,10.50,-1.50,-23.31,159.56,-72.12,-78.94,0.37,1.55,0.47
185,6,Walking,Negative,-8.93,3.55,0.95,-12.94,4.50,-17.19,159.56,-72.44,-78.75,0.29,0.08,0.40
204,6,Walking,Negative,-9.17,2.51,1.04,-23.12,4.81,-7.81,159.25,-72.56,-78.50,0.19,-0.80,0.45
225,6,Walking,Negative,-9.03,1.15,1.04,-18.62,-1.81,3.75,158.88,-72.44,-78.00,0.24,-1.99,0.55
244,6,Walking,Negative,-9.25,0.79,1.35,-5.56,-9.50,12.63,158.63,-72.12,-77.44,-0.06,-1.90,0.62
265,6,Walking,Negative,-9.46,1.36,1.25,11.44,-19.12,14.69,158.75,-71.75,-76.69,-0.35,-1.23,0.56
285,6,Walking,Negative,-9.87,2.25,1.17,16.12,-24.62,8.13,159.00,-71.56,-75.56,-0.50,-0.22,-0.04
305,6,Walking,Negative,-9.62,2.78,0.73,3.31,-31.56,-4.19,159.31,-71.50,-73.56,-0.13,-0.25,-0.05
325,6,Walking,Negative,-9.19,2.59,0.77,-12.25,-34.75,-19.00,159.69,-71.75,-70.94,0.22,-0.41,-0.43
345,6,Walking,Negative,-9.06,2.55,0.59,-16.87,-35.81,-32.81,160.25,-72.12,-67.87,0.34,-0.63,-0.47
365,6,Walking,Negative,-8.69,1.83,0.59,-15.13,-34.63,-37.44,160.94,-72.50,-64.87,0.71,-0.70,-0.62
385,6,Walking,Negative,-8.54,2.01,0.73,-2.38,-31.87,-33.13,161.69,-72.75,-62.31,0.82,-0.60,-0.48
405,6,Walking,Negative,-8.90,1.81,0.68,12.06,-28.75,-22.50,162.44,-72.81,-60.44,0.04,-0.80,-0.68
426,6,Walking,Negative,-9.70,1.67,0.80,24.81,-26.56,-11.56,163.19,-72.75,-59.25,-0.60,-0.83,-0.69
445,6,Walking,Negative,-10.18,1.47,0.81,38.63,-29.69,0.69,163.94,-72.37,-58.50,-0.69,-1.06,-0.70
465,6,Walking,Negative,-9.84,1.55,0.84,48.56,-36.69,11.31,164.63,-71.75,-58.00,0.02,-0.82,-0.84
485,6,Walking,Negative,-9.05,1.94,0.66,54.31,-40.44,16.31,165.38,-71.06,-57.56,0.41,-0.62,-1.10
505,6,Walking,Negative,-8.72,2.03,0.69,49.81,-38.75,14.63,166.00,-70.44,-57.13,0.81,-0.85,-1.01
526,6,Walking,Negative,-8.20,1.83,0.70,45.50,-33.19,11.19,166.63,-69.94,-56.94,1.22,-1.08,-1.07
545,6,Walking,Negative,-8.00,1.51,0.82,43.06,-24.50,10.63,167.19,-69.50,-57.06,1.00,-1.49,-1.06
566,6,Walking,Negative,-8.46,1.35,0.78,43.00,-15.88,11.19,167.69,-69.19,-57.63,0.43,-1.60,-0.96
585,6,Walking,Negative,-8.94,1.33,0.76,46.44,-12.25,10.69,168.31,-68.87,-58.31,0.13,-1.56,-1.06
606,6,Walking,Negative,-9.19,1.51,0.94,50.75,-11.63,7.63,169.00,-68.69,-58.94,-0.23,-1.42,-0.71
626,6,Walking,Negative,-9.89,1.96,1.39,53.06,-10.63,1.37,169.88,-68.62,-59.56,-1.17,-0.94,-0.20
646,6,Walking,Negative,-10.58,2.27,1.72,52.88,-8.25,-7.06,170.88,-68.62,-60.00,-1.58,-0.80,-0.26
666,6,Walking,Negative,-10.75,2.10,1.44,51.13,-10.31,-13.25,172.00,-68.81,-60.13,-1.67,-1.27,-0.40
686,6,Walking,Negative,-10.94,1.37,1.27,51.13,-12.88,-19.94,173.31,-69.06,-59.94,-2.30,-1.88,-0.49
706,6,Walking,Negative,-11.77,0.86,1.41,67.62,-20.87,-35.50,175.06,-69.37,-59.50,-2.80,-2.18,-0.39
727,6,Walking,Negative,-12.32,1.71,1.30,75.81,-23.12,-41.13,177.19,-69.87,-58.75,-3.25,-0.70,-0.25
746,6,Walking,Negative,-12.52,2.47,1.66,75.75,-19.19,-56.94,179.56,-70.56,-57.81,-3.19,-0.07,-0.16
767,6,Walking,Negative,-11.54,2.95,1.53,72.00,-17.56,-61.56,181.94,-71.44,-56.44,-1.52,0.50,-0.15
786,6,Walking,Negative,-10.14,3.28,1.54,61.75,-11.13,-68.00,184.19,-72.44,-54.81,-0.01,0.94,-0.14
806,6,Walking,Negative,-8.05,3.44,1.76,48.50,-3.00,-65.44,186.13,-73.44,-53.31,1.80,1.27,0.12
826,6,Walking,Negative,-7.18,3.40,1.78,32.44,4.94,-56.38,187.63,-74.31,-52.00,2.64,0.72,0.32
846,6,Walking,Negative,-6.75,2.49,1.88,19.12,8.63,-42.63,188.63,-75.00,-51.13,2.52,0.15,0.30
867,6,Walking,Negative,-7.10,1.66,2.03,13.56,7.13,-29.87,189.38,-75.50,-50.44,1.61,-0.73,0.58
886,6,Walking,Negative,-8.38,1.01,2.30,19.31,-0.12,-19.06,190.06,-75.69,-49.88,0.59,-0.83,1.04
907,6,Walking,Negative,-9.53,1.11,2.81,33.31,-12.50,-12.25,190.94,-75.69,-49.13,-0.84,-0.09,1.13
926,6,Walking,Negative,-10.41,1.87,2.77,51.56,-29.12,-8.31,192.06,-75.37,-47.94,-0.76,-0.37,1.08
947,6,Walking,Negative,-9.64,1.50,2.21,65.56,-42.25,-5.25,193.44,-74.87,-46.63,0.13,-0.32,0.27
967,6,Walking,Negative,-9.00,1.48,1.94,82.25,-49.00,-7.31,195.13,-74.31,-45.44,0.66,-0.29,-0.11
987,6,Walking,Negative,-8.19,1.53,1.73,98.87,-48.00,-10.75,197.06,-73.81,-44.63,1.50,-0.28,-0.01
1007,6,Walking,Negative,-7.76,1.91,1.97,114.81,-42.00,-10.31,199.19,-73.37,-44.63,2.02,0.48,0.00
1027,6,Walking,Negative,-7.29,2.51,2.02,126.31,-34.06,-6.44,201.38,-73.00,-45.38,2.16,0.75,-0.02
1047,6,Walking,Negative,-7.30,3.17,1.88,128.81,-24.19,-2.69,203.44,-72.75,-46.75,1.91,1.53,0.20
1067,6,Walking,Negative,-7.66,3.73,2.30,115.69,-16.25,-0.06,205.19,-72.56,-48.25,1.45,1.56,0.36
1087,6,Walking,Negative,-7.95,3.67,2.42,97.69,-10.88,1.63,206.63,-72.37,-49.63,1.51,1.33,0.71
