timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,4,Running,Negative,0.57,4.32,5.86,-115.00,55.56,-25.25,356.38,-3.31,-34.00,1.14,-1.15,-2.24
19,4,Running,Negative,0.26,4.07,6.01,-108.81,62.88,-27.81,356.44,-4.63,-31.87,1.06,-1.09,-2.28
40,4,Running,Negative,-0.26,3.75,6.14,-107.69,69.12,-30.37,356.56,-6.00,-29.81,0.77,-1.10,-2.31
60,4,Running,Negative,-0.66,3.32,6.00,-105.62,75.81,-33.63,356.69,-7.56,-27.75,0.63,-1.20,-2.59
80,4,Running,Negative,-1.11,1.96,6.15,-99.44,83.56,-39.06,356.88,-9.31,-25.81,0.47,-2.25,-2.55
100,4,Running,Negative,-1.82,0.86,6.31,-83.50,92.81,-45.31,357.19,-11.25,-24.12,0.09,-3.06,-2.46
120,4,Running,Negative,-2.60,0.01,6.41,-54.25,102.25,-54.88,357.69,-13.44,-22.81,-0.32,-3.68,-2.36
140,4,Running,Negative,-4.69,0.26,7.53,-18.87,112.31,-66.50,358.44,-15.88,-22.19,-2.00,-3.30,-1.19
161,4,Running,Negative,-5.95,2.33,7.41,13.81,118.19,-73.19,359.44,-18.50,-22.25,-2.83,-1.19,-1.18
182,4,Running,Negative,-7.63,4.02,8.69,10.94,118.19,-75.44,0.50,-21.19,-22.31,-4.08,0.55,0.23
204,4,Running,Negative,-8.77,4.25,9.53,-12.44,112.50,-78.56,1.56,-23.81,-22.00,-5.44,0.42,1.82
225,4,Running,Negative,-10.08,3.34,10.38,-32.00,102.00,-82.75,3.19,-27.44,-20.56,-5.95,0.11,2.47
247,4,Running,Negative,-10.55,2.90,10.75,-33.75,89.31,-81.12,4.31,-29.50,-19.50,-5.88,-0.08,3.06
266,4,Running,Negative,-10.37,2.82,11.00,-21.37,76.06,-71.19,5.31,-31.31,-18.69,-5.04,0.16,2.97
286,4,Running,Negative,-9.67,2.63,11.07,-9.94,63.50,-58.81,6.19,-32.69,-18.19,-4.06,-0.08,2.81
307,4,Running,Negative,-9.00,2.25,10.22,7.81,48.00,-46.00,6.94,-33.81,-18.06,-3.20,-0.43,2.13
327,4,Running,Negative,-7.67,1.55,9.24,26.12,36.69,-37.50,7.75,-34.69,-18.37,-1.51,-0.94,1.21
347,4,Running,Negative,-6.55,1.70,8.56,47.00,32.00,-34.38,8.63,-35.50,-19.00,-0.34,-0.49,0.57
367,4,Running,Negative,-5.88,2.36,7.91,55.06,33.94,-36.00,9.63,-36.38,-19.75,0.09,0.03,0.14
387,4,Running,Negative,-5.57,3.01,7.32,54.38,38.06,-38.88,10.63,-37.31,-20.44,0.52,0.84,-0.45
407,4,Running,Negative,-5.34,3.86,6.66,43.31,44.25,-40.75,11.50,-38.44,-20.87,0.85,1.32,-0.72
428,4,Running,Negative,-5.20,4.20,6.37,27.87,52.13,-42.25,12.31,-39.75,-21.00,1.04,1.50,-0.38
447,4,Running,Negative,-5.21,4.05,6.86,10.88,59.69,-41.81,13.00,-41.13,-20.87,1.24,1.38,0.13
468,4,Running,Negative,-5.22,3.89,7.28,1.31,63.88,-38.31,13.56,-42.56,-20.69,1.25,1.36,0.59
487,4,Running,Negative,-5.54,3.86,7.49,0.31,65.94,-35.81,14.06,-44.00,-20.50,1.17,1.24,1.09
508,4,Running,Negative,-5.82,3.66,7.82,2.50,64.87,-35.69,14.56,-45.38,-20.37,1.14,1.19,1.48
528,4,Running,Negative,-5.89,3.49,8.00,8.13,61.31,-35.19,15.19,-46.69,-20.31,1.10,1.08,1.69
548,4,Running,Negative,-6.33,3.86,8.31,21.00,55.75,-32.25,15.81,-47.88,-20.62,0.89,1.94,2.38
568,4,Running,Negative,-6.60,4.87,8.94,33.50,48.81,-25.19,16.44,-48.88,-21.12,0.90,3.17,3.12
588,4,Running,Negative,-6.30,5.31,8.76,20.19,36.63,-21.50,16.87,-49.69,-21.25,1.18,2.95,2.26
608,4,Running,Negative,-6.38,5.34,7.51,-7.94,30.81,-14.63,16.87,-50.31,-20.87,1.95,3.50,0.70
627,4,Running,Negative,-5.66,5.54,6.21,-42.75,25.62,-10.88,16.50,-50.81,-19.87,1.47,3.09,0.58
648,4,Running,Negative,-6.35,4.72,6.25,-72.94,23.00,0.25,15.69,-51.19,-18.69,0.97,2.73,0.53
668,4,Running,Negative,-6.98,3.77,7.37,-96.06,22.81,10.69,14.50,-51.50,-17.19,0.86,-0.13,1.12
688,4,Running,Negative,-6.21,-0.66,5.13,-85.31,16.62,7.63,13.63,-51.81,-16.06,1.52,-2.13,-0.80
708,4,Running,Negative,-6.35,-0.30,5.15,-49.00,29.19,5.81,13.00,-52.38,-15.50,0.57,-1.39,-0.72
729,4,Running,Negative,-7.89,0.17,5.68,-28.44,39.19,2.69,12.69,-53.19,-15.44,-0.81,-1.57,0.43
748,4,Running,Negative,-9.19,0.06,6.69,-8.25,46.31,0.37,12.56,-54.06,-15.63,-1.11,-1.12,1.70
769,4,Running,Negative,-8.97,0.66,7.06,10.44,45.94,-6.25,12.75,-54.94,-16.00,-1.43,-0.23,2.25
788,4,Running,Negative,-10.02,2.11,7.69,18.81,47.69,-15.69,13.19,-55.88,-16.25,-1.94,1.22,1.76
809,4,Running,Negative,-10.14,2.10,6.98,16.00,45.25,-14.31,13.50,-56.81,-16.69,-2.06,0.24,1.50
829,4,Running,Negative,-10.02,1.81,6.82,31.94,43.75,-4.69,13.88,-57.63,-17.69,-1.38,0.60,1.46
849,4,Running,Negative,-9.14,2.28,5.93,38.63,33.81,2.00,14.13,-58.19,-18.75,-0.47,-0.04,1.03
869,4,Running,Negative,-8.22,0.27,6.02,34.31,29.69,4.63,14.38,-58.69,-20.00,0.63,-1.63,1.01
889,4,Running,Negative,-7.66,-0.30,5.66,59.81,28.31,6.44,15.00,-59.19,-21.81,0.51,-2.09,1.24
909,4,Running,Negative,-8.34,0.00,6.43,91.75,30.44,1.31,16.06,-59.69,-24.19,-0.67,-4.26,2.43
930,4,Running,Negative,-9.62,1.02,8.30,157.13,22.06,4.38,17.75,-59.94,-27.56,-0.44,0.65,1.08
949,4,Running,Negative,-8.59,1.85,7.60,146.56,3.25,4.88,19.44,-59.88,-30.81,-0.92,1.00,3.07
969,4,Running,Negative,-9.35,5.41,6.26,175.00,-10.19,14.94,21.19,-59.44,-34.31,-1.16,3.06,3.59
990,4,Running,Negative,-9.87,6.67,7.15,162.56,-28.44,24.69,22.62,-58.63,-37.50,-2.09,3.85,2.80
1009,4,Running,Negative,-11.52,8.47,7.99,141.88,-47.63,36.69,23.62,-57.25,-40.19,-2.88,6.96,2.84
1030,4,Running,Negative,-11.08,9.57,6.65,115.62,-70.19,67.12,23.81,-55.25,-42.69,-3.03,4.87,2.13
1049,4,Running,Negative,-9.59,7.84,3.85,109.06,-76.44,100.44,23.37,-52.81,-45.38,-1.22,4.23,-0.77
1070,4,Running,Negative,-8.24,8.45,3.43,87.94,-70.19,114.50,22.37,-50.25,-47.81,-1.69,3.32,-0.37
1090,4,Running,Negative,-8.58,8.20,3.52,78.56,-54.38,130.25,20.94,-47.63,-50.38,-1.03,3.37,-0.84
1110,4,Running,Negative,-7.97,8.30,3.70,64.50,-46.75,144.50,19.00,-44.88,-52.63,-0.52,1.89,-0.23
1130,4,Running,Negative,-7.09,6.83,3.65,50.38,-38.81,153.00,16.75,-42.00,-54.75,-0.20,0.47,-0.44
1150,4,Running,Negative,-6.62,5.78,4.03,53.88,-29.62,155.69,14.50,-39.19,-57.00,-0.10,-0.66,-0.11
1170,4,Running,Negative,-6.08,5.88,3.71,81.87,-19.69,159.06,12.31,-36.44,-59.75,-0.34,-0.36,-0.36
