timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,4,RunningGesture,Positive,-0.75,-1.42,9.95,-2.38,1.31,10.50,330.56,-4.13,8.19,-0.05,-0.02,0.27
22,4,RunningGesture,Positive,-0.72,-1.46,10.01,-4.81,0.81,10.13,330.38,-4.13,8.25,-0.02,-0.21,0.41
43,4,RunningGesture,Positive,-0.71,-1.82,10.06,-6.44,-0.12,8.94,330.06,-4.19,8.44,-0.03,-0.52,0.41
64,4,RunningGesture,Positive,-0.76,-1.90,10.06,-3.06,-1.88,5.69,330.00,-4.13,8.44,-0.06,-0.40,0.31
83,4,RunningGesture,Positive,-0.72,-1.81,9.95,1.44,-4.19,2.25,329.94,-4.06,8.38,0.03,-0.22,0.16
104,4,RunningGesture,Positive,-0.67,-1.63,9.82,3.44,-5.50,-0.44,329.94,-3.94,8.38,0.01,-0.23,0.12
124,4,RunningGesture,Positive,-0.65,-1.58,9.81,4.25,-5.75,-2.31,330.00,-3.81,8.25,0.00,0.03,0.07
145,4,RunningGesture,Positive,-0.63,-1.34,9.69,4.63,-6.13,-3.50,330.06,-3.69,8.19,0.04,0.09,-0.06
164,4,RunningGesture,Positive,-0.54,-1.22,9.63,2.94,-4.75,-3.81,330.13,-3.63,8.19,0.07,0.13,-0.01
185,4,RunningGesture,Positive,-0.53,-1.30,9.63,0.25,-2.81,-3.13,330.19,-3.56,8.19,0.12,0.03,-0.08
204,4,RunningGesture,Positive,-0.48,-1.41,9.62,-0.69,-1.00,-1.88,330.25,-3.56,8.19,0.12,-0.02,-0.07
224,4,RunningGesture,Positive,-0.44,-1.42,9.57,-0.56,0.50,-1.06,330.25,-3.56,8.19,0.21,0.05,-0.09
244,4,RunningGesture,Positive,-0.38,-1.30,9.62,-1.00,2.25,-0.50,330.25,-3.56,8.19,0.21,0.06,-0.06
264,4,RunningGesture,Positive,-0.41,-1.33,9.65,-2.25,3.69,-0.06,330.25,-3.63,8.25,0.20,0.08,0.08
285,4,RunningGesture,Positive,-0.44,-1.33,9.83,-3.50,4.13,0.12,330.25,-3.69,8.31,0.16,0.05,0.18
304,4,RunningGesture,Positive,-0.52,-1.40,9.90,-4.31,4.38,0.00,330.25,-3.75,8.38,0.08,-0.07,0.24
325,4,RunningGesture,Positive,-0.57,-1.54,9.95,-3.19,3.25,-0.69,330.31,-3.81,8.44,0.07,-0.15,0.29
344,4,RunningGesture,Positive,-0.63,-1.55,10.00,-1.06,1.81,-1.75,330.31,-3.81,8.50,0.01,-0.13,0.36
365,4,RunningGesture,Positive,-0.66,-1.57,10.05,1.37,0.19,-3.44,330.44,-3.81,8.44,0.00,-0.13,0.33
385,4,RunningGesture,Positive,-0.63,-1.53,9.93,3.31,-2.38,-5.06,330.50,-3.75,8.38,-0.01,-0.05,0.19
405,4,RunningGesture,Positive,-0.66,-1.39,9.90,4.38,-3.81,-7.13,330.69,-3.63,8.31,-0.04,0.07,0.14
425,4,RunningGesture,Positive,-0.64,-1.38,9.83,4.31,-5.19,-8.06,330.81,-3.50,8.25,-0.01,0.06,0.13
445,4,RunningGesture,Positive,-0.64,-1.32,9.74,4.00,-5.50,-9.06,331.00,-3.38,8.19,-0.01,0.02,0.03
465,4,RunningGesture,Positive,-0.54,-1.36,9.68,4.00,-4.94,-9.13,331.19,-3.25,8.06,0.00,0.03,-0.02
486,4,RunningGesture,Positive,-0.62,-1.36,9.70,4.31,-3.63,-9.00,331.31,-3.19,8.00,-0.08,-0.04,0.03
505,4,RunningGesture,Positive,-0.64,-1.40,9.68,4.69,-1.88,-8.94,331.50,-3.13,7.94,-0.16,-0.02,0.00
526,4,RunningGesture,Positive,-0.78,-1.33,9.65,4.69,-0.31,-8.94,331.69,-3.13,7.88,-0.28,0.05,-0.03
545,4,RunningGesture,Positive,-0.84,-1.27,9.69,3.31,0.44,-9.31,331.88,-3.13,7.81,-0.28,-0.02,-0.03
565,4,RunningGesture,Positive,-0.90,-1.49,9.77,0.94,1.31,-8.81,332.00,-3.19,7.81,-0.37,-0.16,0.06
586,4,RunningGesture,Positive,-0.92,-1.59,9.76,-0.06,1.31,-9.44,332.19,-3.19,7.81,-0.33,-0.36,0.10
605,4,RunningGesture,Positive,-0.89,-1.74,9.76,0.37,1.31,-9.88,332.44,-3.19,7.81,-0.34,-0.42,0.11
626,4,RunningGesture,Positive,-0.87,-1.74,9.83,2.00,1.56,-10.81,332.63,-3.19,7.81,-0.21,-0.32,0.05
645,4,RunningGesture,Positive,-0.74,-1.54,9.72,4.13,1.63,-11.50,332.88,-3.25,7.75,-0.09,-0.15,-0.02
