timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,4,Walking,Positive,0.67,8.77,5.23,-10.31,8.38,2.94,355.06,3.38,-57.00,0.05,0.50,-0.03
21,4,Walking,Positive,0.60,8.71,5.37,-13.06,9.94,4.94,354.75,3.31,-56.63,0.06,0.46,-0.06
42,4,Walking,Positive,0.62,8.59,5.38,-17.00,11.56,6.69,354.50,3.31,-56.31,-0.02,0.16,0.03
62,4,Walking,Positive,0.47,8.16,5.59,-18.50,12.94,9.00,354.19,3.38,-55.94,-0.10,-0.08,0.16
83,4,Walking,Positive,0.49,7.85,5.66,-16.06,12.06,10.50,353.88,3.38,-55.63,-0.05,-0.29,0.09
102,4,Walking,Positive,0.56,7.79,5.58,-13.25,11.00,11.00,353.56,3.44,-55.31,0.00,-0.30,0.10
123,4,Walking,Positive,0.65,7.76,5.61,-10.50,10.13,10.94,353.25,3.50,-55.13,0.09,-0.23,0.03
143,4,Walking,Positive,0.77,7.87,5.53,-8.94,8.38,11.38,353.00,3.63,-54.94,0.16,-0.10,-0.13
163,4,Walking,Positive,0.94,7.95,5.44,-10.00,8.06,11.88,352.63,3.75,-54.75,0.29,-0.03,-0.24
183,4,Walking,Positive,0.96,7.89,5.53,-12.31,8.69,13.19,352.31,3.88,-54.50,0.27,0.04,-0.12
203,4,Walking,Positive,0.96,8.15,5.65,-13.63,9.13,14.25,351.94,4.06,-54.19,0.38,0.05,-0.16
223,4,Walking,Positive,0.84,8.28,5.47,-16.62,8.63,17.06,351.50,4.25,-53.88,0.16,0.29,-0.01
244,4,Walking,Positive,0.90,8.09,5.72,-20.44,11.00,17.37,351.06,4.38,-53.44,0.01,0.28,0.05
263,4,Walking,Positive,0.69,8.02,5.94,-24.56,12.13,18.12,350.63,4.56,-52.88,-0.07,0.18,0.13
284,4,Walking,Positive,0.69,7.95,6.07,-27.19,12.38,19.56,350.13,4.69,-52.31,-0.12,0.15,0.19
304,4,Walking,Positive,0.48,7.87,6.27,-29.06,12.81,20.00,349.63,4.81,-51.69,-0.49,0.26,0.32
323,4,Walking,Positive,0.26,7.86,6.42,-31.69,13.88,19.19,349.19,4.94,-51.06,-0.72,0.10,0.35
344,4,Walking,Positive,0.00,7.38,6.71,-33.38,14.56,19.00,348.75,5.06,-50.38,-0.96,-0.32,0.47
363,4,Walking,Positive,-0.12,7.08,6.74,-30.94,14.00,18.87,348.25,5.19,-49.75,-1.09,-0.68,0.58
384,4,Walking,Positive,-0.17,6.67,6.87,-25.56,11.75,17.87,347.88,5.31,-49.25,-1.02,-0.79,0.58
404,4,Walking,Positive,-0.10,6.50,6.76,-19.50,9.50,16.44,347.50,5.44,-48.88,-0.93,-0.97,0.51
424,4,Walking,Positive,-0.01,6.46,6.84,-13.88,7.38,14.63,347.13,5.50,-48.56,-0.96,-0.99,0.51
444,4,Walking,Positive,0.06,6.25,7.01,-11.19,5.44,12.19,346.88,5.63,-48.38,-0.88,-1.10,0.48
464,4,Walking,Positive,0.10,6.24,7.00,-7.00,3.25,7.69,346.81,5.56,-48.06,-0.80,-0.93,0.45
484,4,Walking,Positive,0.23,6.55,6.91,-2.06,-0.12,3.38,346.88,5.31,-47.75,-0.57,-0.65,0.27
504,4,Walking,Positive,0.35,6.68,6.75,-0.37,-2.63,0.56,346.94,5.38,-47.75,-0.53,-0.52,0.21
524,4,Walking,Positive,0.45,6.79,6.74,-0.63,-3.81,-2.06,347.00,5.38,-47.75,-0.47,-0.38,0.20
544,4,Walking,Positive,0.48,6.83,6.79,-0.19,-5.25,-4.13,347.13,5.38,-47.75,-0.37,-0.18,0.17
564,4,Walking,Positive,0.57,7.09,6.66,0.69,-6.88,-5.81,347.31,5.38,-47.75,-0.34,-0.05,0.10
585,4,Walking,Positive,0.55,7.17,6.67,0.50,-7.25,-7.19,347.50,5.38,-47.81,-0.32,-0.08,0.02
604,4,Walking,Positive,0.59,7.13,6.56,2.06,-8.06,-7.81,347.75,5.38,-47.88,-0.27,-0.07,0.03
625,4,Walking,Positive,0.64,7.22,6.53,4.44,-8.81,-8.63,348.00,5.31,-48.00,-0.23,0.05,-0.05
644,4,Walking,Positive,0.71,7.34,6.40,7.44,-9.44,-8.81,348.25,5.31,-48.19,-0.15,0.05,-0.16
664,4,Walking,Positive,0.81,7.30,6.27,9.94,-8.94,-8.06,348.50,5.31,-48.44,-0.06,0.02,-0.24
685,4,Walking,Positive,0.84,7.39,6.26,12.25,-8.00,-7.25,348.69,5.25,-48.69,-0.02,0.07,-0.24
704,4,Walking,Positive,0.94,7.57,6.14,14.31,-7.06,-5.88,348.81,5.31,-49.00,0.06,0.29,-0.30
725,4,Walking,Positive,0.95,7.74,6.05,12.75,-4.88,-4.50,348.94,5.25,-49.25,0.07,0.47,-0.32
744,4,Walking,Positive,0.98,7.83,6.06,8.50,-2.38,-2.38,349.00,5.25,-49.38,0.08,0.33,-0.24
765,4,Walking,Positive,0.93,7.70,6.08,3.31,0.88,-0.12,348.94,5.25,-49.44,0.01,0.06,-0.12
785,4,Walking,Positive,0.83,7.46,6.21,0.44,2.94,1.06,348.88,5.25,-49.44,-0.07,-0.02,-0.02
805,4,Walking,Positive,0.83,7.38,6.27,0.81,3.44,1.63,348.81,5.25,-49.50,-0.13,-0.08,-0.04
825,4,Walking,Positive,0.77,7.26,6.40,2.19,4.00,1.88,348.75,5.19,-49.50,-0.13,-0.14,-0.05
845,4,Walking,Positive,0.79,7.28,6.35,5.13,3.56,2.56,348.69,5.19,-49.63,-0.07,-0.09,0.03
865,4,Walking,Positive,0.81,7.36,6.35,7.31,3.38,2.50,348.56,5.19,-49.75,-0.06,-0.09,-0.01
886,4,Walking,Positive,0.86,7.38,6.28,7.94,3.13,2.69,348.50,5.19,-49.88,-0.01,-0.07,0.00
905,4,Walking,Positive,0.88,7.42,6.26,7.63,3.00,2.88,348.38,5.19,-50.06,-0.02,-0.02,0.01
926,4,Walking,Positive,0.84,7.53,6.30,6.19,3.06,2.75,348.31,5.19,-50.13,-0.10,0.05,0.10
945,4,Walking,Positive,0.79,7.57,6.34,4.19,3.19,2.81,348.25,5.19,-50.19,-0.15,0.08,0.13
966,4,Walking,Positive,0.70,7.59,6.43,3.06,3.06,2.75,348.13,5.19,-50.25,-0.18,0.10,0.19
985,4,Walking,Positive,0.69,7.63,6.45,2.25,2.25,2.69,348.06,5.19,-50.25,-0.17,0.06,0.21
1005,4,Walking,Positive,0.67,7.54,6.49,1.69,1.69,2.94,348.00,5.19,-50.31,-0.19,0.02,0.25
1026,4,Walking,Positive,0.70,7.48,6.50,2.19,0.75,2.88,348.00,5.19,-50.31,-0.17,-0.03,0.25
1045,4,Walking,Positive,0.75,7.52,6.47,2.88,-0.12,2.63,347.94,5.19,-50.38,-0.13,0.02,0.21
1066,4,Walking,Positive,0.74,7.58,6.43,2.44,-0.50,2.38,347.88,5.25,-50.38,-0.16,0.06,0.18
1085,4,Walking,Positive,0.70,7.57,6.46,0.75,0.00,1.94,347.88,5.25,-50.38,-0.21,0.00,0.23
1106,4,Walking,Positive,0.67,7.34,6.42,-1.06,0.69,2.06,347.81,5.25,-50.31,-0.22,-0.21,0.17
1126,4,Walking,Positive,0.67,7.24,6.42,-1.75,0.63,2.25,347.81,5.25,-50.25,-0.21,-0.30,0.13
1146,4,Walking,Positive,0.72,7.21,6.37,-0.94,0.31,1.94,347.75,5.25,-50.25,-0.13,-0.27,0.11
1166,4,Walking,Positive,0.76,7.26,6.33,-0.94,-0.63,1.06,347.75,5.25,-50.19,-0.16,-0.14,0.10
1186,4,Walking,Positive,0.72,7.41,6.31,-2.38,-1.12,0.00,347.81,5.25,-50.13,-0.20,-0.10,0.13
1206,4,Walking,Positive,0.66,7.44,6.36,-4.44,-2.19,-1.06,347.88,5.25,-50.00,-0.29,-0.04,0.13
1227,4,Walking,Positive,0.60,7.50,6.36,-5.44,-3.81,-1.88,347.94,5.25,-49.88,-0.31,0.06,0.06
1246,4,Walking,Positive,0.60,7.57,6.31,-5.63,-6.13,-2.75,348.06,5.25,-49.81,-0.30,0.08,0.00
1267,4,Walking,Positive,0.60,7.53,6.28,-5.38,-8.13,-3.25,348.25,5.31,-49.75,-0.31,0.07,-0.05
1286,4,Walking,Positive,0.64,7.46,6.22,-4.06,-10.25,-3.94,348.44,5.31,-49.69,-0.22,0.05,-0.14
1306,4,Walking,Positive,0.72,7.51,6.16,-1.69,-12.31,-4.44,348.69,5.38,-49.69,-0.15,0.15,-0.23
1327,4,Walking,Positive,0.79,7.64,6.02,0.00,-13.25,-4.94,348.88,5.50,-49.75,-0.10,0.22,-0.34
