timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,4,WalkingGesture,Positive,-5.00,2.88,6.38,35.81,-11.00,2.13,309.38,-29.56,-2.50,-0.18,2.26,-2.28
21,4,WalkingGesture,Positive,-5.05,1.60,6.26,4.94,6.25,11.38,309.13,-29.75,-2.56,-0.83,0.62,-1.13
42,4,WalkingGesture,Positive,-5.60,-0.04,7.52,-25.12,14.44,7.06,308.88,-30.00,-2.13,-0.12,-0.10,0.52
62,4,WalkingGesture,Positive,-4.08,-1.02,8.86,-23.06,9.25,5.56,308.69,-30.19,-1.81,1.67,-0.36,-0.49
82,4,WalkingGesture,Positive,-3.29,-0.58,9.33,-26.50,13.75,-0.69,308.56,-30.50,-1.37,1.26,-0.78,1.71
102,4,WalkingGesture,Positive,-4.61,0.28,10.32,-12.06,12.50,-3.75,308.56,-30.69,-1.06,0.17,0.21,2.06
123,4,WalkingGesture,Positive,-5.02,0.84,10.07,-10.25,5.44,-3.75,308.56,-30.75,-0.81,0.10,0.88,0.95
142,4,WalkingGesture,Positive,-4.83,0.30,9.11,-19.31,1.75,0.69,308.44,-30.81,-0.44,0.04,-0.05,0.73
163,4,WalkingGesture,Positive,-5.17,-0.04,9.34,-18.81,1.31,1.31,308.31,-30.81,-0.19,-0.37,-0.22,0.91
182,4,WalkingGesture,Positive,-5.41,-0.40,9.24,-5.69,-2.69,7.00,308.19,-30.75,-0.19,-0.19,-0.47,0.53
203,4,WalkingGesture,Positive,-5.00,-0.35,8.79,5.00,-3.75,9.81,308.00,-30.69,-0.44,0.43,-0.14,0.66
223,4,WalkingGesture,Positive,-4.55,0.47,8.99,7.50,-2.44,7.81,307.88,-30.62,-0.63,0.49,0.52,0.45
243,4,WalkingGesture,Positive,-4.59,0.61,9.00,-2.00,-1.00,7.38,307.75,-30.62,-0.63,0.48,0.43,0.53
263,4,WalkingGesture,Positive,-4.47,0.52,8.84,-9.88,-1.06,7.06,307.50,-30.56,-0.50,0.52,0.33,0.28
282,4,WalkingGesture,Positive,-4.55,0.36,8.78,-9.69,-1.37,7.94,307.31,-30.50,-0.50,0.40,0.39,0.19
303,4,WalkingGesture,Positive,-4.71,0.79,8.51,-6.13,-1.63,10.06,307.06,-30.50,-0.44,0.30,0.43,0.21
322,4,WalkingGesture,Positive,-4.96,0.22,8.58,-8.13,-0.37,12.00,306.81,-30.44,-0.44,0.09,0.03,0.09
343,4,WalkingGesture,Positive,-4.95,-0.13,8.61,-5.94,-0.69,11.88,306.56,-30.44,-0.50,-0.02,-0.22,0.19
363,4,WalkingGesture,Positive,-5.01,-0.45,8.62,1.44,-1.37,12.19,306.31,-30.44,-0.69,-0.11,-0.54,0.10
383,4,WalkingGesture,Positive,-5.13,-0.18,8.50,15.06,-2.13,12.19,306.19,-30.37,-1.19,-0.30,-0.19,-0.20
403,4,WalkingGesture,Positive,-5.26,-0.22,8.19,20.06,-2.00,11.56,306.06,-30.31,-1.75,-0.40,-0.53,-0.34
424,4,WalkingGesture,Positive,-5.26,-0.24,7.95,30.94,-1.56,10.88,306.06,-30.31,-2.50,-0.20,-0.43,-0.64
443,4,WalkingGesture,Positive,-5.17,-0.10,7.83,37.31,-0.31,10.31,306.06,-30.31,-3.38,-0.33,-0.62,-0.55
464,4,WalkingGesture,Positive,-5.45,-0.19,7.99,43.19,1.37,9.50,306.13,-30.31,-4.31,-0.54,-0.84,-0.42
484,4,WalkingGesture,Positive,-5.51,-0.09,7.91,48.50,1.37,5.38,306.31,-30.31,-5.38,-0.53,-0.85,-0.57
504,4,WalkingGesture,Positive,-5.55,0.60,7.78,55.88,2.25,-0.06,306.56,-30.37,-6.44,-0.43,-0.23,-0.76
524,4,WalkingGesture,Positive,-5.31,0.93,7.83,58.50,3.00,-0.88,306.88,-30.44,-7.56,-0.48,0.34,-0.50
544,4,WalkingGesture,Positive,-5.50,2.05,8.03,48.44,5.19,-0.50,307.13,-30.56,-8.44,-0.57,0.77,0.01
