timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,5,Running,Negative,-4.35,6.81,7.85,12.06,4.69,-3.94,24.12,-24.50,-44.13,-0.28,0.60,1.44
21,5,Running,Negative,-4.18,6.97,7.81,-0.63,-2.19,-3.00,24.19,-24.56,-44.13,-0.10,0.76,1.41
43,5,Running,Negative,-4.10,6.74,7.75,-12.13,-4.00,-2.13,24.25,-24.50,-43.94,-0.08,0.28,1.22
63,5,Running,Negative,-4.02,6.34,7.44,-19.81,-4.19,1.00,24.06,-24.44,-43.31,0.13,0.06,0.79
84,5,Running,Negative,-3.95,6.02,7.38,-23.06,-4.56,4.88,23.87,-24.25,-42.94,-0.08,-0.10,0.74
104,5,Running,Negative,-4.22,6.23,7.26,-16.31,-5.25,8.75,23.69,-24.06,-42.63,-0.26,0.36,0.79
125,5,Running,Negative,-4.20,6.80,7.55,-19.69,-8.19,11.94,23.37,-23.75,-42.25,-0.16,0.66,0.94
145,5,Running,Negative,-4.10,6.35,7.64,-26.50,-10.94,14.75,23.06,-23.37,-41.75,-0.22,-0.02,0.94
166,5,Running,Negative,-4.06,5.25,7.45,-28.75,-13.56,18.56,22.69,-22.94,-41.25,-0.20,-1.04,0.52
185,5,Running,Negative,-4.13,4.74,7.31,-16.69,-16.19,18.94,22.37,-22.44,-41.06,-0.29,-1.36,0.44
206,5,Running,Negative,-3.90,4.85,7.14,3.75,-18.44,17.56,22.19,-22.00,-41.19,-0.29,-0.89,0.19
225,5,Running,Negative,-4.11,5.32,7.02,17.75,-16.50,14.31,22.12,-21.56,-41.56,-0.63,-0.37,-0.07
246,5,Running,Negative,-4.37,5.82,6.71,22.87,-15.94,9.44,22.19,-21.19,-42.00,-0.96,-0.14,-0.05
266,5,Running,Negative,-4.55,6.10,6.74,21.25,-16.50,9.31,22.19,-20.87,-42.31,-0.74,0.39,-0.33
286,5,Running,Negative,-4.11,6.39,6.50,14.00,-17.37,12.13,22.12,-20.44,-42.56,-0.55,0.07,0.06
306,5,Running,Negative,-4.02,6.43,6.87,6.63,-13.63,12.69,22.00,-20.12,-42.63,-0.65,-0.03,0.19
325,5,Running,Negative,-3.85,6.24,6.90,1.56,-12.63,11.50,21.75,-19.75,-42.69,-0.20,-0.48,0.07
346,5,Running,Negative,-3.35,5.17,6.94,0.69,-6.25,22.75,21.37,-19.37,-42.81,-0.20,-1.28,0.26
366,5,Running,Negative,-3.18,4.91,7.02,9.44,-4.63,24.19,21.00,-19.00,-43.19,0.09,-1.52,0.24
386,5,Running,Negative,-2.78,5.20,6.77,25.06,-4.06,19.25,20.75,-18.69,-43.81,0.30,-0.84,0.22
406,5,Running,Negative,-3.00,5.86,7.05,30.50,1.12,19.50,20.50,-18.44,-44.50,-0.14,-0.66,0.47
426,5,Running,Negative,-3.14,5.74,7.15,26.94,3.13,21.31,20.12,-18.19,-45.06,0.01,-0.90,0.46
446,5,Running,Negative,-2.83,5.95,6.90,25.25,2.81,19.25,19.87,-18.00,-45.63,0.54,-0.30,0.45
467,5,Running,Negative,-2.33,6.39,6.89,18.44,4.88,10.81,19.69,-17.94,-46.00,0.82,-0.17,0.62
486,5,Running,Negative,-2.44,6.30,7.16,5.13,9.38,9.38,19.44,-17.94,-46.13,0.93,-0.89,0.76
507,5,Running,Negative,-2.04,6.35,7.22,-2.56,9.81,10.06,19.12,-17.94,-46.19,0.74,-0.14,0.59
526,5,Running,Negative,-2.36,5.91,7.18,-11.94,11.44,4.50,18.87,-17.94,-45.75,0.60,-0.93,0.67
547,5,Running,Negative,-2.41,5.74,7.13,-16.94,11.13,3.13,18.69,-18.06,-45.50,0.52,-1.01,0.51
567,5,Running,Negative,-2.83,5.43,7.20,-14.56,9.88,2.13,18.56,-18.12,-45.31,0.14,-1.06,0.59
587,5,Running,Negative,-2.72,5.79,7.03,-6.63,7.56,4.94,18.37,-18.19,-45.25,0.00,-0.65,0.44
607,5,Running,Negative,-2.85,6.06,7.19,-5.63,6.38,9.50,18.06,-18.12,-45.25,-0.19,-0.65,0.65
627,5,Running,Negative,-3.16,5.62,6.92,-5.44,5.50,12.56,17.75,-18.00,-45.25,-0.34,-2.02,0.48
647,5,Running,Negative,-3.15,4.44,6.87,1.19,4.19,19.25,17.37,-17.75,-45.44,0.14,-1.95,0.05
666,5,Running,Negative,-2.72,5.28,6.47,12.13,2.94,11.81,17.25,-17.75,-45.69,1.59,1.44,0.01
687,5,Running,Negative,-2.54,9.62,6.03,3.31,3.00,-23.06,17.75,-18.19,-45.44,-0.02,2.95,-0.79
707,5,Running,Negative,-2.46,5.20,6.52,-49.88,5.94,-17.87,17.69,-18.37,-44.38,0.53,-1.81,-0.09
727,5,Running,Negative,-2.55,4.59,6.30,-48.44,11.00,7.94,17.25,-18.44,-43.63,0.47,-1.28,-0.17
747,5,Running,Negative,-2.90,5.87,6.53,-28.87,14.00,10.56,16.87,-18.50,-43.25,0.37,0.00,-0.20
768,5,Running,Negative,-3.35,6.10,6.52,-17.94,15.38,4.63,16.62,-18.62,-43.06,-0.46,-0.41,0.22
787,5,Running,Negative,-3.65,5.61,6.77,-3.63,18.87,5.63,16.37,-18.81,-43.19,-0.55,0.17,-0.02
808,5,Running,Negative,-4.37,7.17,6.66,9.56,21.19,-1.25,16.31,-19.19,-43.44,-0.78,2.02,-0.27
827,5,Running,Negative,-4.36,8.82,6.53,-4.31,19.50,-11.50,16.31,-19.62,-43.19,-1.34,2.61,0.00
848,5,Running,Negative,-4.60,8.79,7.00,-39.69,17.87,-6.50,16.12,-19.87,-42.38,-1.46,1.09,0.11
868,5,Running,Negative,-4.70,6.19,7.04,-65.00,9.63,7.19,15.63,-19.87,-41.19,-0.47,-1.03,0.27
888,5,Running,Negative,-5.45,5.46,7.26,-58.44,6.19,6.75,15.19,-19.87,-40.13,-0.48,-1.33,0.16
908,5,Running,Negative,-3.66,4.09,7.66,-44.31,2.69,18.44,14.75,-19.69,-39.44,0.01,-1.48,0.14
928,5,Running,Negative,-3.14,5.06,6.39,-26.12,0.94,6.81,14.44,-19.62,-39.06,0.18,-0.29,-0.14
948,5,Running,Negative,-3.62,6.00,7.07,-16.75,9.38,12.69,14.06,-19.62,-38.88,0.08,0.38,-0.51
969,5,Running,Negative,-2.16,6.04,6.85,-19.81,8.56,13.13,13.69,-19.62,-38.56,1.13,0.38,-0.19
988,5,Running,Negative,-2.45,6.36,7.02,-26.56,18.50,9.75,13.25,-19.81,-38.13,0.36,0.18,-0.12
1008,5,Running,Negative,-3.21,5.13,7.06,-37.75,23.50,10.25,12.75,-20.00,-37.56,0.36,-1.12,-0.24
