timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,5,RunningGesture,Positive,-5.19,4.01,6.99,19.75,14.56,-8.00,39.25,-36.44,-31.50,0.63,-0.10,0.27
20,5,RunningGesture,Positive,-5.48,4.63,8.04,11.38,19.62,-6.69,39.38,-36.81,-31.87,0.39,0.48,1.38
41,5,RunningGesture,Positive,-5.00,4.76,8.25,-14.69,20.75,-3.75,39.31,-37.25,-31.81,0.93,0.65,1.62
62,5,RunningGesture,Positive,-5.03,3.26,7.50,-57.94,16.75,5.75,38.88,-37.56,-31.06,1.17,-0.73,0.33
84,5,RunningGesture,Positive,-4.61,2.71,6.39,-77.37,23.56,8.13,37.75,-38.06,-29.25,0.99,-1.75,1.02
105,5,RunningGesture,Positive,-5.34,0.00,8.73,-72.50,11.81,-12.31,37.56,-38.38,-28.19,1.22,-3.93,1.83
126,5,RunningGesture,Positive,-4.84,3.69,4.66,25.00,18.87,-10.06,38.00,-38.88,-28.81,0.96,1.29,-0.69
145,5,RunningGesture,Positive,-5.55,6.41,7.20,3.31,22.50,-29.00,38.44,-39.50,-28.50,0.38,4.57,-0.31
165,5,RunningGesture,Positive,-5.62,8.55,6.26,-20.00,15.75,-18.00,38.38,-39.88,-27.75,0.45,3.80,-0.36
186,5,RunningGesture,Positive,-5.48,5.83,6.49,-62.44,12.38,6.81,37.63,-40.00,-26.75,0.86,1.15,-0.39
205,5,RunningGesture,Positive,-5.78,4.15,6.57,-60.50,13.31,14.75,36.81,-40.13,-25.81,0.45,0.14,0.32
226,5,RunningGesture,Positive,-5.81,3.05,7.20,-74.81,12.69,11.81,36.00,-40.25,-24.75,0.16,0.46,0.08
246,5,RunningGesture,Positive,-6.63,4.20,7.11,-60.06,14.81,13.13,35.25,-40.38,-23.87,-0.80,1.51,0.38
266,5,RunningGesture,Positive,-7.24,4.63,7.08,-63.63,15.06,18.25,34.31,-40.44,-23.00,-1.02,0.95,-0.34
286,5,RunningGesture,Positive,-7.18,3.22,6.73,-72.37,2.69,26.81,33.31,-40.25,-22.06,-0.96,0.15,0.11
306,5,RunningGesture,Positive,-7.66,2.58,7.16,-63.38,-2.06,24.31,32.38,-40.06,-21.12,-1.44,-0.44,0.25
326,5,RunningGesture,Positive,-7.73,2.19,6.85,-74.94,-5.88,19.75,31.50,-39.81,-19.94,-1.66,-0.38,-0.77
347,5,RunningGesture,Positive,-8.42,2.13,6.12,-72.81,-0.88,17.50,30.62,-39.69,-18.81,-2.27,-0.71,-0.75
366,5,RunningGesture,Positive,-8.43,1.55,5.94,-66.37,0.37,19.00,29.81,-39.50,-17.94,-1.50,-1.79,-1.27
387,5,RunningGesture,Positive,-7.34,-0.80,7.13,-49.19,-9.19,22.62,29.12,-39.19,-17.37,-1.08,-3.73,0.27
407,5,RunningGesture,Positive,-6.94,-2.09,7.72,-2.94,-16.87,20.19,28.87,-38.75,-17.69,-0.86,-4.94,2.09
427,5,RunningGesture,Positive,-6.72,-1.27,9.22,42.88,-25.75,0.88,29.37,-38.25,-18.62,-0.35,-1.00,0.39
447,5,RunningGesture,Positive,-7.01,3.91,6.31,85.87,-21.62,-11.75,30.25,-38.00,-19.81,-2.32,1.95,-0.44
466,5,RunningGesture,Positive,-8.20,4.18,6.63,39.81,-18.50,-13.63,30.75,-37.69,-20.12,-1.66,0.54,-0.84
487,5,RunningGesture,Positive,-6.76,1.19,6.96,1.37,-33.25,-10.00,31.06,-37.13,-19.75,-0.66,-1.82,-0.72
506,5,RunningGesture,Positive,-6.77,0.96,6.58,-2.38,-29.37,-14.25,31.44,-36.75,-19.37,-0.70,-1.57,-0.73
527,5,RunningGesture,Positive,-6.86,1.52,6.14,-3.25,-22.31,-19.19,31.87,-36.50,-18.94,-1.07,-1.28,-1.38
547,5,RunningGesture,Positive,-6.92,0.86,6.21,-12.75,-16.37,-23.69,32.25,-36.38,-18.19,-0.92,-2.20,-1.33
567,5,RunningGesture,Positive,-6.39,-0.70,6.61,-18.37,-14.75,-29.62,32.81,-36.31,-17.44,-0.67,-3.07,-0.89
587,5,RunningGesture,Positive,-6.59,-0.38,6.47,-0.81,-8.06,-38.94,33.69,-36.44,-16.87,-1.00,-2.22,-1.10
607,5,RunningGesture,Positive,-6.81,0.01,6.46,11.81,-5.19,-47.25,34.69,-36.56,-16.44,-0.71,-2.36,-1.13
627,5,RunningGesture,Positive,-6.50,-0.13,6.39,16.50,-6.06,-51.81,36.19,-37.38,-15.19,-0.54,-2.04,-1.21
648,5,RunningGesture,Positive,-6.47,0.04,6.24,22.25,-2.56,-60.25,37.81,-38.19,-13.94,-0.50,-1.69,-1.23
667,5,RunningGesture,Positive,-6.73,0.63,6.19,29.25,1.50,-68.75,39.38,-38.56,-13.50,-0.73,-0.91,-1.17
688,5,RunningGesture,Positive,-6.71,0.90,6.42,31.06,3.56,-73.37,41.06,-38.94,-13.00,-0.70,-0.79,-0.85
708,5,RunningGesture,Positive,-7.07,1.29,6.43,31.25,5.63,-76.12,42.75,-39.38,-12.44,-0.74,-0.31,-0.82
728,5,RunningGesture,Positive,-6.86,1.42,6.66,30.62,5.19,-76.50,44.44,-39.81,-11.88,-0.53,0.03,-0.69
748,5,RunningGesture,Positive,-6.84,2.04,6.85,35.56,7.63,-79.50,46.25,-40.25,-11.31,-0.64,0.86,-0.50
768,5,RunningGesture,Positive,-7.04,2.50,6.81,34.56,8.38,-80.19,48.00,-40.69,-10.69,-0.45,1.17,-0.12
788,5,RunningGesture,Positive,-6.73,2.61,7.39,30.44,3.94,-73.44,49.63,-41.06,-10.06,-0.34,1.63,0.14
809,5,RunningGesture,Positive,-6.77,3.38,7.26,32.06,5.50,-71.31,51.19,-41.38,-9.56,-0.04,2.28,0.06
828,5,RunningGesture,Positive,-6.40,3.37,7.45,26.00,4.25,-66.37,52.63,-41.69,-8.94,0.11,2.19,0.13
848,5,RunningGesture,Positive,-6.22,3.19,7.36,25.12,3.88,-61.38,54.00,-41.88,-8.38,0.37,2.36,0.29
868,5,RunningGesture,Positive,-6.26,3.86,7.55,25.94,3.50,-55.44,55.19,-42.13,-8.00,0.24,3.45,0.27
888,5,RunningGesture,Positive,-6.07,5.01,7.66,28.87,2.81,-44.06,56.19,-42.25,-7.81,0.55,4.30,0.31
908,5,RunningGesture,Positive,-5.92,5.14,7.36,23.87,1.75,-32.38,56.94,-42.38,-7.75,0.84,3.80,0.40
928,5,RunningGesture,Positive,-5.95,4.66,7.48,17.87,3.81,-20.12,57.38,-42.50,-7.81,0.68,3.87,0.27
949,5,RunningGesture,Positive,-5.66,4.84,7.57,18.81,4.19,-6.56,57.31,-42.38,-8.94,0.51,4.02,0.64
968,5,RunningGesture,Positive,-6.08,5.39,7.89,13.75,3.94,5.69,57.25,-42.44,-9.31,0.62,4.24,0.87
