timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,5,Walking,Negative,-1.48,9.06,3.61,0.56,-21.56,-22.25,342.38,-3.75,-67.94,-0.83,0.00,-0.05
19,5,Walking,Negative,-1.45,9.07,3.55,1.37,-25.25,-24.31,343.19,-4.00,-67.94,-0.61,-0.03,-0.20
38,5,Walking,Negative,-1.22,8.94,3.37,2.00,-27.31,-26.50,344.06,-4.25,-67.87,-0.41,-0.14,-0.35
58,5,Walking,Negative,-1.01,9.07,3.30,0.75,-29.00,-28.06,344.94,-4.56,-67.87,-0.20,0.15,-0.37
77,5,Walking,Negative,-0.96,9.36,3.33,-0.50,-29.50,-28.44,345.88,-4.81,-67.75,-0.17,0.49,-0.33
98,5,Walking,Negative,-1.15,9.64,3.38,-5.50,-31.37,-27.62,346.81,-5.06,-67.56,-0.36,0.64,-0.34
117,5,Walking,Negative,-1.34,9.71,3.32,-8.19,-34.63,-25.44,347.75,-5.25,-67.37,-0.57,0.72,-0.41
138,5,Walking,Negative,-1.49,9.59,3.30,-9.13,-39.13,-23.44,348.69,-5.38,-67.06,-0.60,0.49,-0.59
157,5,Walking,Negative,-1.58,9.41,3.27,-7.13,-43.50,-24.25,349.75,-5.50,-66.87,-0.69,0.63,-0.62
178,5,Walking,Negative,-1.64,9.80,3.17,-3.94,-48.19,-26.62,350.94,-5.69,-66.87,-0.69,0.92,-0.72
198,5,Walking,Negative,-1.68,9.87,3.05,-2.13,-51.69,-28.25,352.19,-5.81,-66.69,-0.63,0.78,-0.89
218,5,Walking,Negative,-1.61,9.70,2.98,0.75,-53.13,-29.19,353.44,-6.00,-66.81,-0.52,0.63,-0.88
238,5,Walking,Negative,-1.24,9.15,2.89,3.56,-51.94,-27.62,354.63,-6.06,-66.75,-0.02,-0.03,-0.95
257,5,Walking,Negative,-0.91,8.74,2.96,6.31,-47.38,-25.19,355.69,-6.19,-66.75,0.24,-0.35,-0.84
278,5,Walking,Negative,-0.69,8.39,3.03,6.38,-40.88,-22.87,356.63,-6.25,-66.81,0.42,-0.68,-0.70
298,5,Walking,Negative,-0.61,8.19,3.23,3.88,-33.75,-19.81,357.44,-6.38,-66.75,0.53,-0.73,-0.51
318,5,Walking,Negative,-0.56,8.19,3.47,-0.37,-27.19,-18.00,358.13,-6.50,-66.69,0.45,-0.80,-0.26
338,5,Walking,Negative,-0.73,8.16,3.53,-5.63,-22.12,-17.81,358.75,-6.63,-66.50,0.18,-0.67,-0.06
358,5,Walking,Negative,-1.03,8.34,3.87,-10.06,-19.81,-19.62,359.31,-6.88,-66.19,-0.08,-0.47,0.17
378,5,Walking,Negative,-1.36,8.55,4.09,-12.50,-20.00,-21.37,0.00,-7.06,-65.87,-0.34,-0.36,0.37
398,5,Walking,Negative,-1.60,8.57,4.38,-10.13,-21.87,-23.06,0.69,-7.31,-65.69,-0.40,-0.18,0.57
418,5,Walking,Negative,-1.71,9.03,4.71,-3.38,-24.81,-23.50,1.50,-7.50,-65.56,-0.44,0.30,0.89
439,5,Walking,Negative,-1.65,9.25,4.97,1.06,-27.19,-20.87,2.19,-7.63,-65.50,-0.32,0.41,0.91
458,5,Walking,Negative,-1.55,8.98,5.04,1.75,-28.19,-15.63,2.81,-7.69,-65.44,-0.16,-0.08,0.93
479,5,Walking,Negative,-1.35,8.53,4.94,2.63,-28.56,-11.44,3.38,-7.63,-65.44,0.09,-0.49,0.87
498,5,Walking,Negative,-0.92,8.01,4.77,4.94,-28.37,-10.94,4.00,-7.63,-65.44,0.52,-0.97,0.67
519,5,Walking,Negative,-0.65,7.71,4.64,7.63,-27.56,-11.75,4.56,-7.56,-65.56,0.84,-1.21,0.55
538,5,Walking,Negative,-0.34,7.62,4.54,12.00,-25.06,-10.56,5.06,-7.56,-65.75,0.96,-1.14,0.65
559,5,Walking,Negative,-0.36,7.83,4.59,16.19,-21.06,-11.38,5.63,-7.63,-66.00,0.98,0.07,0.77
579,5,Walking,Negative,-0.31,9.32,4.66,10.94,-16.69,-13.31,6.06,-7.75,-66.06,0.65,0.50,1.08
598,5,Walking,Negative,-0.91,9.42,4.98,0.75,-13.25,-10.06,6.38,-7.81,-66.00,0.34,0.48,1.09
619,5,Walking,Negative,-1.07,9.27,5.06,-5.00,-11.63,-5.81,6.63,-7.81,-65.87,0.16,0.22,1.07
638,5,Walking,Negative,-1.11,8.72,4.99,-3.88,-10.75,1.12,6.69,-7.69,-65.81,0.26,-0.37,0.96
659,5,Walking,Negative,-0.94,8.28,4.95,-0.94,-10.88,4.06,6.75,-7.50,-65.75,0.43,-0.72,0.88
679,5,Walking,Negative,-0.73,8.24,4.82,2.81,-10.13,3.06,6.81,-7.38,-65.81,0.48,-0.55,0.82
699,5,Walking,Negative,-0.79,8.41,4.81,2.75,-8.88,2.25,6.88,-7.25,-65.87,0.47,-0.49,0.83
719,5,Walking,Negative,-0.73,8.42,4.81,0.63,-7.06,3.63,6.81,-7.00,-65.50,0.44,-0.44,0.83
739,5,Walking,Negative,-0.72,8.49,4.86,-2.13,-5.44,5.00,6.69,-6.69,-65.12,0.46,-0.25,0.73
759,5,Walking,Negative,-0.65,8.62,4.88,-6.13,-3.81,5.63,6.50,-6.44,-64.69,0.44,-0.19,0.70
779,5,Walking,Negative,-0.61,8.35,4.85,-10.94,-1.50,4.88,6.31,-6.19,-64.19,0.43,-0.53,0.61
799,5,Walking,Negative,-0.57,8.11,4.80,-11.44,0.56,4.13,6.19,-6.13,-64.00,0.49,-0.70,0.54
820,5,Walking,Negative,-0.57,8.69,4.84,-9.00,3.06,3.88,6.06,-6.06,-63.88,0.52,0.27,0.55
839,5,Walking,Negative,-0.39,9.24,4.77,-11.63,6.88,8.50,5.75,-5.94,-63.63,0.69,0.54,0.61
860,5,Walking,Negative,-0.27,8.90,4.83,-18.25,12.44,13.81,5.25,-5.81,-63.25,0.68,0.00,0.37
880,5,Walking,Negative,-0.39,8.62,4.78,-22.12,19.37,15.38,4.69,-5.75,-62.88,0.33,0.13,0.36
900,5,Walking,Negative,-0.82,8.97,4.91,-21.56,24.19,14.38,4.13,-5.75,-62.56,-0.02,0.46,0.48
920,5,Walking,Negative,-1.21,9.15,5.00,-20.87,25.56,11.81,3.56,-5.75,-62.19,-0.59,0.21,0.40
939,5,Walking,Negative,-1.64,8.75,4.89,-20.44,21.87,12.00,3.06,-5.75,-61.81,-0.65,0.18,0.23
960,5,Walking,Negative,-1.50,8.95,4.81,-20.19,16.00,15.13,2.56,-5.63,-61.50,0.04,0.52,0.17
980,5,Walking,Negative,-0.65,8.92,4.71,-24.94,12.88,17.62,2.00,-5.44,-61.00,0.48,0.09,-0.06
1000,5,Walking,Negative,-0.19,8.19,4.52,-29.25,13.31,17.69,1.50,-5.25,-60.50,0.75,-0.29,-0.36
1020,5,Walking,Negative,-0.19,8.21,4.33,-29.19,15.44,15.44,1.00,-5.13,-59.94,0.71,-0.17,-0.57
1041,5,Walking,Negative,-0.05,8.55,4.56,-31.75,17.94,15.38,0.44,-5.06,-59.31,0.89,0.39,-0.28
1060,5,Walking,Negative,0.25,8.76,4.75,-43.06,21.12,15.31,359.88,-5.06,-58.44,1.37,1.30,-0.22
1081,5,Walking,Negative,0.53,9.78,5.06,-62.75,27.44,15.38,359.13,-5.06,-57.19,1.30,1.28,-0.23
1101,5,Walking,Negative,0.23,8.98,5.19,-86.50,33.88,16.56,358.38,-5.19,-55.50,0.56,0.20,0.17
1121,5,Walking,Negative,-0.66,8.01,6.05,-99.44,36.13,17.31,357.56,-5.31,-53.63,-0.04,-0.07,0.64
1141,5,Walking,Negative,-1.00,7.47,6.62,-95.75,32.00,20.25,356.75,-5.38,-51.88,0.13,-0.89,0.45
1161,5,Walking,Negative,-0.68,6.65,6.39,-87.50,26.06,16.87,356.13,-5.44,-50.25,0.13,-0.78,0.31
1181,5,Walking,Negative,-1.06,6.96,6.83,-84.25,20.87,10.38,355.69,-5.56,-48.69,-0.16,-0.48,0.51
1202,5,Walking,Negative,-1.30,6.70,6.85,-78.25,17.94,7.00,355.31,-5.69,-47.25,-0.61,-0.41,0.24
1221,5,Walking,Negative,-2.07,6.86,6.83,-68.87,14.44,8.31,354.94,-5.75,-46.00,-1.21,0.00,0.23
1242,5,Walking,Negative,-2.24,7.37,6.83,-61.63,9.31,10.88,354.63,-5.69,-44.88,-0.93,0.26,-0.03
1261,5,Walking,Negative,-1.73,6.96,7.09,-56.06,4.75,11.44,354.31,-5.56,-43.81,-0.62,0.06,-0.14
1281,5,Walking,Negative,-1.54,6.58,7.12,-52.88,2.75,8.00,354.06,-5.50,-42.81,-0.70,-0.40,-1.48
1302,5,Walking,Negative,-1.94,5.65,4.88,-47.63,10.38,4.00,353.88,-5.69,-42.00,-1.52,-1.12,-1.65
1321,5,Walking,Negative,-2.24,5.62,4.69,-28.69,19.06,-2.13,353.75,-6.06,-41.50,-1.22,-1.38,-2.68
1342,5,Walking,Negative,-2.69,5.08,4.59,-21.87,27.12,-2.25,353.56,-6.44,-41.19,-2.02,-0.48,-2.48
1361,5,Walking,Negative,-3.68,6.99,6.59,-15.13,27.19,3.88,353.25,-6.75,-40.94,-2.10,1.07,-0.28
1382,5,Walking,Negative,-2.54,7.56,7.45,-16.94,18.56,2.31,353.06,-7.00,-40.63,-0.70,0.92,0.26
1401,5,Walking,Negative,-1.50,6.13,8.48,-24.06,15.06,1.94,352.94,-7.19,-40.19,-0.09,-0.45,1.27
1422,5,Walking,Negative,-1.23,5.71,8.91,-14.06,6.63,-1.69,352.94,-7.25,-40.00,0.08,-0.41,1.76
1442,5,Walking,Negative,-0.74,6.53,9.28,-0.50,-1.69,-2.94,353.00,-7.25,-40.00,0.60,0.50,1.81
1462,5,Walking,Negative,-0.64,6.82,9.13,-0.69,-5.44,-1.75,353.06,-7.19,-39.94,0.45,0.55,1.18
1482,5,Walking,Negative,-0.78,6.75,8.47,-7.75,-7.63,-0.19,353.13,-7.06,-39.75,0.42,0.48,0.86
1502,5,Walking,Negative,-0.84,6.69,8.19,-15.19,-9.44,1.19,353.13,-6.88,-39.38,0.37,0.09,0.52
1522,5,Walking,Negative,-0.74,6.00,7.85,-20.50,-9.56,2.56,353.13,-6.69,-39.00,0.36,-0.33,0.19
1542,5,Walking,Negative,-0.98,5.79,7.35,-19.25,-7.81,3.13,353.06,-6.56,-38.63,0.06,-0.12,-0.21
1562,5,Walking,Negative,-1.06,6.14,7.43,-19.19,-7.25,2.63,353.06,-6.44,-38.25,0.10,0.09,-0.25
1583,5,Walking,Negative,-0.95,5.73,7.53,-22.31,-3.06,2.00,353.00,-6.38,-37.81,0.24,-0.25,-0.21
1602,5,Walking,Negative,-0.74,5.87,7.44,-21.69,-0.19,-0.63,353.00,-6.38,-37.38,0.44,0.06,-0.34
1622,5,Walking,Negative,-0.61,6.23,7.29,-27.44,3.63,-4.19,353.00,-6.50,-36.75,0.33,0.40,-0.54
1643,5,Walking,Negative,-0.84,6.11,7.39,-39.06,7.31,-3.88,353.00,-6.69,-36.00,-0.70,0.43,-0.14
1662,5,Walking,Negative,-1.73,6.42,7.76,-46.38,7.56,-1.44,352.88,-6.81,-35.06,-0.24,0.82,-0.10
1683,5,Walking,Negative,-1.12,6.12,7.96,-55.31,7.63,1.44,352.75,-6.88,-34.00,-0.39,0.33,0.04
1702,5,Walking,Negative,-2.15,5.98,8.32,-57.00,7.63,2.00,352.56,-6.94,-32.94,-1.49,1.00,0.45
1723,5,Walking,Negative,-2.84,6.55,9.27,-53.06,-3.75,4.50,352.44,-6.81,-31.87,0.31,1.24,1.72
1743,5,Walking,Negative,0.82,4.47,7.28,-53.75,0.37,7.19,352.25,-6.88,-31.00,0.59,-2.00,-0.55
1763,5,Walking,Negative,-1.51,4.60,6.76,-20.25,5.81,-1.75,352.19,-7.00,-30.69,-0.46,0.46,-1.03
1783,5,Walking,Negative,-1.31,5.70,7.37,-19.12,9.63,2.81,352.00,-7.13,-30.25,0.07,0.66,-0.61
1803,5,Walking,Negative,-0.62,4.77,7.46,-29.75,16.44,6.31,351.75,-7.38,-29.69,0.59,-0.38,-1.15
1823,5,Walking,Negative,-0.73,4.22,6.81,-28.44,24.06,7.69,351.44,-7.75,-29.19,0.37,-0.15,-1.82
1844,5,Walking,Negative,-0.97,4.76,6.69,-28.31,29.87,9.44,351.06,-8.13,-28.75,0.47,-0.07,-1.90
1863,5,Walking,Negative,-0.91,4.37,6.58,-28.94,34.63,10.25,350.63,-8.69,-28.25,0.33,-0.26,-1.57
1884,5,Walking,Negative,-1.50,4.27,7.08,-27.00,36.38,8.31,350.25,-9.19,-27.81,-0.47,-0.15,-0.81
