timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,5,WalkingGesture,Positive,-0.03,7.85,4.66,36.06,-12.13,17.44,275.69,7.75,-54.56,-1.36,-0.06,-0.96
20,5,WalkingGesture,Positive,0.19,8.27,4.55,23.37,-9.94,11.38,275.50,8.06,-55.06,-1.18,0.30,-0.99
38,5,WalkingGesture,Positive,0.13,8.26,4.93,-2.44,-4.81,3.56,275.44,8.25,-55.19,-1.40,0.24,-0.32
57,5,WalkingGesture,Positive,0.02,7.87,5.28,-14.94,-2.63,-3.94,275.56,8.25,-54.94,-1.30,-0.48,-0.21
77,5,WalkingGesture,Positive,-0.09,7.31,5.37,-20.25,-2.56,-10.50,275.88,8.00,-54.56,-1.53,-0.46,-0.33
96,5,WalkingGesture,Positive,0.06,7.32,5.26,-26.94,-3.63,-28.37,276.63,7.56,-54.00,-0.64,-0.27,0.11
117,5,WalkingGesture,Positive,0.98,8.17,5.62,-40.44,-3.81,-50.75,277.75,6.75,-53.38,0.12,0.42,-0.28
136,5,WalkingGesture,Positive,1.53,7.87,5.58,-36.69,-0.75,-55.06,278.88,5.88,-52.75,0.70,-0.12,-0.16
157,5,WalkingGesture,Positive,1.71,7.35,6.06,-27.50,7.69,-50.19,279.75,5.06,-52.31,0.73,-0.47,0.43
177,5,WalkingGesture,Positive,1.66,7.39,6.25,-13.56,9.44,-47.63,280.63,4.19,-52.13,1.16,-0.12,-0.08
197,5,WalkingGesture,Positive,2.18,7.68,5.52,-2.88,2.56,-49.50,281.56,3.44,-52.19,1.93,0.32,-0.97
217,5,WalkingGesture,Positive,2.91,8.65,3.69,5.00,-0.94,-49.50,282.50,2.69,-52.31,2.33,1.15,-2.43
238,5,WalkingGesture,Positive,2.52,9.05,3.38,5.75,10.56,-45.88,283.19,1.81,-52.44,1.87,1.71,-2.01
257,5,WalkingGesture,Positive,1.25,9.93,5.74,-2.56,24.50,-39.44,283.69,0.94,-52.38,0.73,2.67,0.07
278,5,WalkingGesture,Positive,0.89,10.48,6.13,-8.38,25.62,-32.69,284.06,0.19,-52.19,1.11,2.65,-0.85
297,5,WalkingGesture,Positive,1.26,10.00,4.41,-17.06,22.75,-26.00,284.31,-0.44,-51.81,1.33,1.72,-2.36
318,5,WalkingGesture,Positive,1.09,8.82,3.25,-24.81,32.81,-18.31,284.25,-1.12,-51.31,0.75,0.41,-2.82
338,5,WalkingGesture,Positive,0.12,8.15,3.85,-15.13,52.00,-14.56,284.06,-2.06,-51.13,-0.06,0.57,-1.42
357,5,WalkingGesture,Positive,-1.55,9.03,5.93,0.31,67.87,-16.56,283.75,-3.13,-51.25,-1.27,1.64,-0.05
378,5,WalkingGesture,Positive,-1.98,9.41,5.64,10.56,68.25,-16.06,283.44,-4.19,-51.50,-0.98,2.02,-1.18
397,5,WalkingGesture,Positive,-1.07,8.91,3.29,10.31,61.31,-9.81,283.00,-5.00,-51.75,0.13,0.75,-3.21
418,5,WalkingGesture,Positive,-0.91,8.03,2.95,0.00,66.19,-5.06,282.44,-5.94,-51.81,-0.43,0.00,-2.26
437,5,WalkingGesture,Positive,-1.87,7.58,6.89,-3.06,74.12,-4.69,281.81,-6.88,-51.88,-0.62,0.36,1.66
458,5,WalkingGesture,Positive,-1.44,8.64,7.27,3.38,73.94,1.50,281.06,-7.69,-52.13,-0.05,1.09,0.70
478,5,WalkingGesture,Positive,-1.73,8.52,6.55,-1.31,75.31,13.00,280.06,-8.38,-52.13,-0.56,0.55,0.35
498,5,WalkingGesture,Positive,-2.04,7.31,5.95,-22.31,64.25,13.63,279.19,-8.88,-51.81,0.25,-1.78,-0.23
518,5,WalkingGesture,Positive,-1.10,5.61,6.03,-22.44,48.44,7.56,278.63,-9.38,-51.56,0.38,-2.34,1.31
538,5,WalkingGesture,Positive,-1.75,5.27,8.92,-21.50,50.44,-2.00,278.19,-10.06,-51.38,-0.86,-0.77,3.43
558,5,WalkingGesture,Positive,-2.66,7.61,8.87,-2.75,40.94,-10.56,278.06,-10.63,-51.38,-0.46,0.09,2.70
