timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,3,Running,Negative,0.21,5.33,7.79,81.19,-8.25,-16.50,315.56,3.50,-35.13,-0.39,-0.33,-0.26
21,3,Running,Negative,0.15,5.57,7.55,83.44,-12.50,-15.38,315.88,3.50,-36.75,-0.45,-0.16,-0.35
43,3,Running,Negative,0.14,6.28,7.29,83.81,-16.00,-14.31,316.38,3.56,-39.25,-0.39,0.19,-0.42
63,3,Running,Negative,0.15,6.61,7.17,79.81,-17.81,-11.88,316.69,3.69,-40.75,-0.28,0.23,-0.46
83,3,Running,Negative,0.27,6.38,7.21,73.81,-19.69,-8.69,316.94,3.88,-42.19,-0.17,-0.36,-0.04
103,3,Running,Negative,0.57,6.29,6.83,74.31,-20.37,-7.00,317.13,4.13,-43.69,-0.10,-0.33,-0.33
124,3,Running,Negative,0.53,6.97,6.49,79.69,-20.81,-4.88,317.31,4.31,-45.25,-0.27,0.47,-0.46
143,3,Running,Negative,0.47,7.99,6.32,80.44,-20.87,-0.69,317.38,4.63,-46.81,-0.27,1.69,-0.61
164,3,Running,Negative,0.70,9.04,5.99,65.12,-19.19,4.25,317.38,4.94,-47.94,-0.11,1.77,-0.64
184,3,Running,Negative,1.25,8.91,5.77,38.06,-16.06,9.69,317.25,5.31,-48.56,0.47,1.44,-0.58
204,3,Running,Negative,1.47,8.52,6.01,12.44,-10.00,15.25,317.00,5.63,-48.69,0.51,0.92,-0.42
224,3,Running,Negative,1.19,7.84,6.33,-7.56,-3.81,19.25,316.69,5.94,-48.50,0.20,0.30,-0.11
245,3,Running,Negative,1.06,7.40,6.27,-16.31,-1.25,21.31,316.25,6.31,-48.13,-0.29,-0.29,-0.16
264,3,Running,Negative,0.70,6.80,6.24,-15.94,0.00,20.31,315.94,6.56,-47.81,-0.48,-0.48,-0.16
284,3,Running,Negative,0.62,6.67,6.32,-9.00,-0.63,14.94,315.69,6.75,-47.69,-0.58,-0.07,-0.03
304,3,Running,Negative,0.21,7.18,6.29,2.56,-2.06,10.44,315.50,6.94,-47.81,-1.21,0.02,0.23
324,3,Running,Negative,0.24,7.50,6.65,11.44,-2.88,6.19,315.38,7.06,-48.06,-0.94,0.24,-0.08
344,3,Running,Negative,0.54,7.48,6.15,21.62,-3.75,10.50,315.13,7.31,-48.50,-0.88,-0.14,-0.29
364,3,Running,Negative,0.92,7.96,5.47,29.44,-4.06,13.75,314.88,7.56,-49.13,-0.31,0.64,-0.89
385,3,Running,Negative,1.10,7.50,5.39,25.50,-0.19,15.13,314.44,7.81,-49.56,0.00,0.07,-1.29
404,3,Running,Negative,1.32,7.54,4.87,20.62,3.69,23.31,313.94,8.06,-49.88,-0.21,0.48,-1.45
425,3,Running,Negative,1.02,7.93,4.87,11.44,12.31,26.06,313.25,8.31,-49.94,-0.59,0.39,-1.53
444,3,Running,Negative,0.67,7.63,4.73,-4.50,18.25,31.56,312.44,8.56,-49.63,-0.89,-0.03,-1.48
465,3,Running,Negative,0.55,7.07,4.74,-19.87,25.00,31.37,311.69,8.63,-49.06,-0.87,-0.77,-1.40
485,3,Running,Negative,0.64,6.26,4.89,-26.37,30.06,26.25,311.00,8.63,-48.50,-1.05,-1.01,-1.44
505,3,Running,Negative,0.19,6.23,5.18,-22.94,35.81,18.75,310.38,8.38,-47.94,-0.98,-0.59,-1.40
525,3,Running,Negative,0.48,6.58,5.20,-11.50,38.63,12.25,309.81,8.00,-47.69,-0.84,-0.57,-1.13
546,3,Running,Negative,0.40,6.67,5.48,-3.00,44.69,8.00,309.31,7.50,-47.50,-0.93,-0.59,-0.85
565,3,Running,Negative,0.35,6.68,5.65,4.50,51.06,2.75,308.81,6.81,-47.56,-0.82,-0.43,-0.76
586,3,Running,Negative,0.42,7.15,5.87,12.13,57.38,-4.00,308.44,6.00,-47.75,-0.76,0.21,-0.60
605,3,Running,Negative,0.14,7.65,6.06,14.56,63.38,-8.19,308.00,5.00,-47.94,-0.95,0.62,-0.42
625,3,Running,Negative,-0.44,7.96,6.13,8.13,67.81,-9.63,307.63,4.00,-47.94,-1.22,0.57,-0.32
645,3,Running,Negative,-0.61,7.63,6.41,-3.63,70.00,-9.31,307.19,2.94,-47.81,-1.16,0.27,0.08
665,3,Running,Negative,-0.71,7.48,6.74,-11.19,68.81,-8.88,306.75,1.94,-47.50,-1.15,0.16,0.25
686,3,Running,Negative,-0.84,7.31,6.93,-17.87,65.31,-7.19,306.38,1.00,-47.13,-1.13,-0.13,0.41
705,3,Running,Negative,-0.99,6.92,7.11,-21.25,60.06,-5.69,306.00,0.19,-46.69,-1.04,-0.27,0.45
726,3,Running,Negative,-1.04,6.83,7.29,-20.00,53.69,-4.81,305.63,-0.56,-46.31,-0.93,-0.20,0.62
745,3,Running,Negative,-1.00,6.90,7.51,-16.87,47.38,-3.94,305.31,-1.19,-46.00,-0.74,-0.17,0.85
766,3,Running,Negative,-0.89,6.85,7.71,-13.44,41.31,-2.31,305.06,-1.75,-45.81,-0.58,-0.15,0.86
786,3,Running,Negative,-0.88,6.89,7.70,-8.44,35.94,-1.06,304.75,-2.25,-45.69,-0.72,-0.14,0.85
806,3,Running,Negative,-1.10,7.14,7.62,-5.19,31.44,-0.44,304.56,-2.75,-45.56,-0.68,0.23,0.82
826,3,Running,Negative,-1.17,7.28,7.71,-4.25,28.37,-0.12,304.31,-3.13,-45.50,-0.30,0.39,0.98
846,3,Running,Negative,-0.75,7.39,7.95,-4.19,24.25,1.56,304.06,-3.38,-45.44,-0.07,0.49,1.09
866,3,Running,Negative,-0.73,7.68,8.06,-3.44,21.50,1.75,303.88,-3.63,-45.38,-0.14,1.00,1.25
887,3,Running,Negative,-0.75,8.41,7.77,-4.88,16.31,2.00,303.69,-3.81,-45.25,-0.09,1.33,1.20
906,3,Running,Negative,-0.81,8.53,7.55,-15.75,12.38,2.25,303.56,-3.94,-44.94,-0.12,1.13,0.95
927,3,Running,Negative,-0.95,7.87,7.82,-29.44,9.06,3.69,303.38,-4.00,-44.31,-0.21,0.84,0.48
946,3,Running,Negative,-1.04,6.81,7.98,-37.81,5.44,4.06,303.25,-4.00,-43.63,-0.39,-0.11,0.68
966,3,Running,Negative,-1.05,6.41,7.88,-35.75,0.12,1.69,303.25,-4.00,-42.94,-0.38,-0.41,0.78
987,3,Running,Negative,-1.08,6.31,7.67,-27.25,-5.13,-2.81,303.31,-3.94,-42.44,-0.28,-0.34,0.38
1006,3,Running,Negative,-1.04,6.11,7.36,-19.25,-10.13,-6.31,303.56,-3.88,-42.06,-0.26,-0.40,0.03
1027,3,Running,Negative,-0.82,6.24,7.20,-10.06,-14.38,-9.00,303.81,-3.75,-41.88,-0.20,-0.23,0.00
1046,3,Running,Negative,-0.86,6.32,7.17,-2.56,-18.06,-11.63,304.19,-3.69,-41.88,-0.17,-0.02,-0.14
1067,3,Running,Negative,-0.74,6.58,7.21,2.06,-20.69,-15.69,304.69,-3.56,-41.88,-0.11,0.16,-0.13
1087,3,Running,Negative,-0.63,6.75,7.07,4.38,-24.56,-19.69,305.31,-3.44,-41.94,0.08,0.29,-0.31
1107,3,Running,Negative,-0.46,6.66,6.86,2.19,-27.44,-22.37,305.94,-3.38,-41.88,0.09,-0.07,-0.31
1127,3,Running,Negative,-0.53,6.57,6.89,1.00,-30.00,-27.12,306.75,-3.31,-41.94,0.04,0.07,-0.25
1148,3,Running,Negative,-0.45,6.80,7.08,5.19,-32.63,-35.00,307.69,-3.25,-42.00,0.25,0.45,-0.15
1167,3,Running,Negative,-0.17,7.39,7.33,10.94,-34.63,-41.63,308.81,-3.31,-42.19,0.49,0.91,0.03
1188,3,Running,Negative,-0.14,7.51,7.45,14.75,-35.44,-42.75,309.88,-3.38,-42.44,0.43,0.85,0.15
1207,3,Running,Negative,-0.12,7.44,7.30,16.19,-36.69,-36.75,310.81,-3.31,-42.69,0.30,0.93,0.17
1228,3,Running,Negative,-0.09,7.63,7.17,13.88,-37.56,-28.00,311.56,-3.06,-42.94,0.60,0.74,-0.24
1248,3,Running,Negative,0.34,7.49,6.61,8.81,-38.88,-17.37,312.19,-2.69,-43.06,0.89,0.49,-0.65
1268,3,Running,Negative,0.56,6.74,6.63,4.38,-35.06,-7.56,312.56,-2.31,-43.13,0.94,0.18,-0.51
1288,3,Running,Negative,0.49,7.00,6.79,2.94,-29.25,-10.63,313.00,-2.06,-43.13,0.81,0.48,-0.23
1307,3,Running,Negative,0.22,7.36,7.11,1.37,-24.19,-11.50,313.38,-1.88,-43.13,0.45,0.86,0.00
1328,3,Running,Negative,0.00,7.55,7.23,-0.06,-20.37,-8.94,313.69,-1.69,-43.13,0.29,0.72,0.07
1347,3,Running,Negative,0.00,7.61,7.24,-2.38,-18.69,-4.63,313.94,-1.50,-43.06,0.19,0.69,-0.27
1368,3,Running,Negative,-0.27,7.35,7.01,-8.88,-15.31,-0.88,314.06,-1.31,-42.81,0.31,0.80,-0.34
1388,3,Running,Negative,0.16,6.91,7.04,-19.44,-12.06,-0.44,314.06,-1.12,-42.31,0.25,-0.17,-0.03
1408,3,Running,Negative,0.12,6.15,6.99,-29.25,-9.44,7.69,314.00,-0.88,-41.75,0.39,-1.05,-0.24
1428,3,Running,Negative,0.26,5.38,7.03,-31.12,-7.56,10.56,313.81,-0.63,-41.19,0.38,-1.20,-0.35
1448,3,Running,Negative,0.11,5.11,6.97,-28.00,-6.56,10.75,313.69,-0.44,-40.63,0.14,-1.49,-0.57
1468,3,Running,Negative,0.14,4.85,6.78,-18.87,-6.44,10.00,313.50,-0.19,-40.31,0.11,-1.52,-0.65
1489,3,Running,Negative,0.02,4.86,6.85,-9.88,-6.06,6.00,313.50,-0.06,-40.19,-0.17,-1.46,-0.50
1508,3,Running,Negative,-0.24,5.05,7.17,-1.06,-5.44,0.44,313.56,0.00,-40.19,-0.34,-1.03,-0.28
1529,3,Running,Negative,-0.42,5.67,7.38,8.50,-6.88,-4.75,313.69,0.00,-40.44,-0.34,-0.53,-0.16
1548,3,Running,Negative,-0.31,6.00,7.35,17.12,-9.19,-6.69,313.88,0.06,-40.75,-0.24,-0.48,-0.05
1569,3,Running,Negative,0.00,5.83,7.64,19.75,-9.13,-5.94,314.13,0.12,-41.13,0.22,-0.49,0.00
1588,3,Running,Negative,0.30,5.96,7.43,20.19,-9.69,-6.19,314.25,0.19,-41.50,0.38,-0.41,0.20
1609,3,Running,Negative,0.50,6.10,7.48,18.19,-8.31,-4.50,314.38,0.25,-41.88,0.40,-0.54,0.36
1629,3,Running,Negative,0.53,6.01,7.60,13.81,-7.38,-1.50,314.50,0.31,-42.13,0.49,-0.58,0.43
1648,3,Running,Negative,0.57,5.96,7.43,12.75,-7.38,2.25,314.44,0.50,-42.31,0.46,-0.45,0.27
1669,3,Running,Negative,0.58,6.20,7.20,14.00,-7.13,6.00,314.31,0.75,-42.56,0.48,-0.48,-0.05
1688,3,Running,Negative,0.57,6.30,7.09,16.31,-5.38,8.75,314.19,0.94,-42.88,0.43,-0.19,-0.31
