timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,3,RunningGesture,Positive,-2.13,1.39,9.60,25.31,-21.19,-1.69,320.00,-8.56,-11.13,-0.65,-0.79,0.00
20,3,RunningGesture,Positive,-2.22,0.84,9.51,33.88,-23.19,-3.81,320.19,-8.13,-11.81,-0.78,-0.87,-0.10
41,3,RunningGesture,Positive,-2.05,1.57,9.25,42.88,-26.19,-5.13,320.38,-7.63,-12.63,-0.51,0.41,-0.15
60,3,RunningGesture,Positive,-1.67,2.67,9.33,38.75,-24.31,-2.13,320.50,-7.25,-13.31,-0.38,0.43,-0.05
81,3,RunningGesture,Positive,-1.57,2.56,9.47,32.56,-21.75,-0.12,320.50,-6.88,-13.81,-0.59,-0.25,0.40
101,3,RunningGesture,Positive,-1.78,1.96,9.97,22.81,-15.94,2.63,320.50,-6.56,-14.25,-0.64,-0.54,0.55
121,3,RunningGesture,Positive,-1.88,1.84,9.97,20.56,-12.00,5.56,320.44,-6.31,-14.63,-0.78,-0.40,0.51
141,3,RunningGesture,Positive,-1.88,2.44,9.97,18.31,-10.50,7.13,320.38,-6.06,-15.00,-0.77,0.12,0.53
161,3,RunningGesture,Positive,-1.73,2.63,10.07,15.00,-9.88,8.81,320.19,-5.88,-15.25,-0.77,-0.10,0.86
181,3,RunningGesture,Positive,-1.77,2.36,10.40,4.75,-6.69,11.94,320.00,-5.69,-15.31,-0.83,-0.36,1.11
202,3,RunningGesture,Positive,-1.74,1.91,10.48,-4.44,-5.69,11.63,319.75,-5.50,-15.25,-0.84,-0.83,1.13
221,3,RunningGesture,Positive,-1.90,1.60,10.56,-5.81,-5.13,10.13,319.63,-5.38,-15.19,-1.01,-0.87,1.09
242,3,RunningGesture,Positive,-1.98,1.73,10.48,-8.00,-6.06,5.75,319.50,-5.25,-15.00,-1.13,-0.77,1.03
261,3,RunningGesture,Positive,-2.11,1.71,10.51,-12.94,-8.44,-0.50,319.56,-5.06,-14.75,-1.40,-1.05,1.28
282,3,RunningGesture,Positive,-2.34,1.40,10.96,-13.63,-11.13,-4.81,319.63,-4.88,-14.44,-1.46,-0.87,1.66
302,3,RunningGesture,Positive,-2.43,1.73,11.37,-12.75,-14.00,-6.81,319.88,-4.63,-14.19,-1.73,-0.29,2.05
321,3,RunningGesture,Positive,-2.51,2.13,11.50,-9.31,-25.06,-10.38,320.13,-4.19,-14.00,-1.56,-0.36,1.88
342,3,RunningGesture,Positive,-1.88,1.65,10.97,-7.81,-28.87,-10.44,320.38,-3.63,-13.88,-1.04,-0.70,1.31
361,3,RunningGesture,Positive,-1.41,1.72,10.68,-3.63,-34.38,-11.81,320.69,-3.06,-13.75,-0.78,-0.44,1.22
