timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,3,Walking,Negative,-0.46,2.26,8.94,4.44,19.31,10.56,28.37,-2.00,-20.06,-0.11,-1.10,-0.26
20,3,Walking,Negative,-0.52,2.28,8.86,15.13,20.19,9.13,28.12,-2.38,-19.94,-0.11,-1.06,-0.34
41,3,Walking,Negative,-0.58,2.54,8.80,25.87,21.44,9.31,27.94,-2.75,-20.12,-0.11,-0.83,-0.39
62,3,Walking,Negative,-0.59,2.84,8.65,35.75,22.19,9.56,27.69,-3.06,-20.75,-0.29,-0.12,-0.45
84,3,Walking,Negative,-0.83,3.48,8.72,40.88,24.87,6.44,27.44,-3.44,-21.56,-0.07,-0.09,-0.25
104,3,Walking,Negative,-0.56,3.51,8.70,39.13,26.37,6.00,27.19,-4.13,-22.69,0.33,-0.17,0.40
125,3,Walking,Negative,-0.10,3.50,9.45,32.19,28.25,5.38,27.00,-4.56,-23.31,0.70,-0.41,0.66
145,3,Walking,Negative,-0.34,3.35,9.74,20.69,28.87,2.31,26.87,-5.06,-23.69,0.41,-0.79,0.78
166,3,Walking,Negative,-0.66,3.08,9.53,13.13,27.75,-2.19,26.81,-5.56,-23.94,0.22,-0.84,0.46
185,3,Walking,Negative,-0.94,3.06,9.17,14.44,27.37,-6.56,26.87,-6.13,-24.25,0.09,-0.78,0.33
206,3,Walking,Negative,-0.75,3.47,9.36,21.31,26.94,-6.50,26.87,-6.63,-24.75,0.45,-0.66,0.51
226,3,Walking,Negative,-0.39,3.40,9.52,23.69,27.06,-2.75,26.87,-7.13,-25.19,0.90,-0.61,0.64
246,3,Walking,Negative,-0.34,3.77,9.32,23.06,28.37,-2.38,26.81,-7.69,-25.62,0.79,-0.55,0.28
266,3,Walking,Negative,-0.73,3.68,8.86,16.37,30.94,-3.25,26.75,-8.25,-25.94,0.49,-0.41,-0.15
285,3,Walking,Negative,-1.03,4.04,8.14,15.31,33.63,-6.25,26.75,-8.88,-26.31,0.13,-0.16,-0.88
306,3,Walking,Negative,-1.42,4.14,7.61,21.81,37.19,-4.88,26.69,-9.63,-26.81,0.08,-0.10,-0.93
326,3,Walking,Negative,-1.75,4.35,7.90,31.87,42.63,-5.19,26.69,-10.44,-27.56,0.01,0.18,-0.64
346,3,Walking,Negative,-1.93,4.90,8.13,40.75,47.44,-10.25,26.75,-11.38,-28.37,-0.13,0.47,-0.20
366,3,Walking,Negative,-2.11,5.17,7.82,39.63,51.31,-13.25,26.81,-12.38,-29.19,0.18,0.31,-0.79
387,3,Walking,Negative,-2.22,5.20,7.44,35.88,55.50,-14.13,26.94,-13.44,-29.94,0.23,0.26,-0.94
406,3,Walking,Negative,-2.23,5.53,6.83,36.63,59.44,-15.00,27.00,-14.63,-30.75,0.33,0.71,-1.32
427,3,Walking,Negative,-2.29,5.81,6.63,33.13,64.37,-12.69,26.94,-15.81,-31.44,0.25,0.98,-1.02
447,3,Walking,Negative,-2.44,5.95,7.16,21.87,70.50,-9.00,26.75,-17.12,-32.00,0.36,0.90,-0.83
467,3,Walking,Negative,-2.60,5.80,7.25,3.44,76.31,-7.88,26.50,-18.44,-32.19,0.33,0.39,-0.94
487,3,Walking,Negative,-2.91,5.22,6.80,-12.56,82.69,-8.25,26.19,-19.94,-32.13,0.32,0.32,-1.16
507,3,Walking,Negative,-3.28,5.14,6.71,-26.06,91.87,-14.81,25.87,-21.69,-31.81,-0.15,0.36,-0.78
527,3,Walking,Negative,-4.08,5.12,7.01,-35.19,99.31,-23.12,25.69,-23.56,-31.37,-0.28,0.18,-0.62
548,3,Walking,Negative,-4.46,4.47,6.83,-38.00,104.56,-28.44,25.56,-25.62,-30.87,-0.32,-0.20,-0.57
567,3,Walking,Negative,-4.94,4.29,7.27,-35.44,109.44,-32.56,25.50,-27.75,-30.50,-0.73,0.32,-0.17
588,3,Walking,Negative,-5.49,4.54,7.02,-25.81,110.06,-34.00,25.44,-29.94,-30.31,-0.65,0.22,-0.29
607,3,Walking,Negative,-5.52,4.63,6.80,-19.37,112.19,-33.81,25.44,-32.19,-30.31,-0.47,0.29,0.04
628,3,Walking,Negative,-5.68,4.35,7.50,-19.00,114.06,-32.13,25.44,-34.38,-30.31,-0.21,0.45,0.45
648,3,Walking,Negative,-5.82,4.39,7.51,-28.62,112.12,-32.00,25.31,-36.56,-30.06,-0.05,-0.33,0.47
667,3,Walking,Negative,-5.74,3.29,7.15,-38.00,108.56,-35.13,25.25,-38.75,-29.62,0.40,-0.85,0.32
688,3,Walking,Negative,-5.85,2.50,7.28,-44.00,106.87,-43.44,25.37,-40.94,-29.00,-0.08,-1.69,0.70
707,3,Walking,Negative,-7.19,1.83,7.69,-36.69,104.69,-50.56,25.69,-43.19,-28.37,-0.34,-1.34,1.22
728,3,Walking,Negative,-7.09,1.86,7.33,-18.87,97.25,-56.25,26.31,-45.38,-28.00,-0.17,-1.60,0.90
748,3,Walking,Negative,-7.10,1.61,6.78,-2.81,93.44,-58.56,27.06,-47.50,-27.87,0.00,-1.57,0.91
768,3,Walking,Negative,-7.16,1.51,6.22,16.81,90.25,-61.38,28.12,-49.56,-28.00,0.39,-1.54,0.44
788,3,Walking,Negative,-7.13,1.52,5.74,35.13,90.37,-63.38,29.44,-51.75,-28.44,0.44,-1.44,0.10
