timestamp,subject,activity,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,euler_x,euler_y,euler_z,linear_x,linear_y,linear_z
0,3,WalkingGesture,Positive,-0.95,0.68,9.90,-2.88,22.31,-2.44,307.00,-5.31,-3.38,-0.04,0.11,0.15
22,3,WalkingGesture,Positive,-1.03,0.62,9.94,-4.38,21.31,-4.19,307.00,-5.75,-3.25,0.07,-0.04,0.15
43,3,WalkingGesture,Positive,-0.86,0.33,10.03,-4.81,19.25,-5.44,307.19,-6.31,-3.13,0.28,-0.16,0.25
63,3,WalkingGesture,Positive,-0.76,0.41,10.00,-1.12,17.94,-6.38,307.25,-6.63,-3.13,0.35,-0.01,0.37
84,3,WalkingGesture,Positive,-0.85,0.67,10.10,-0.75,17.06,-6.81,307.38,-6.94,-3.06,0.28,0.00,0.48
104,3,WalkingGesture,Positive,-0.93,0.43,10.24,-2.88,16.19,-6.13,307.50,-7.19,-3.00,0.13,0.18,0.46
125,3,WalkingGesture,Positive,-1.08,0.87,10.13,-3.13,13.31,-5.44,307.56,-7.44,-2.88,0.19,0.27,0.45
144,3,WalkingGesture,Positive,-1.14,0.82,10.25,-9.81,10.69,-5.13,307.69,-7.63,-2.69,0.09,0.22,0.70
164,3,WalkingGesture,Positive,-1.26,0.50,10.49,-15.50,8.81,-4.19,307.69,-7.81,-2.38,0.03,-0.02,0.78
185,3,WalkingGesture,Positive,-1.58,0.21,10.45,-13.81,7.13,-2.81,307.75,-7.94,-2.13,-0.26,-0.14,0.72
204,3,WalkingGesture,Positive,-1.61,0.22,10.41,-7.31,3.75,-2.13,307.81,-7.94,-2.00,-0.24,-0.10,0.68
225,3,WalkingGesture,Positive,-1.61,0.24,10.34,-0.37,0.19,-1.75,307.81,-7.94,-2.00,-0.25,-0.03,0.58
245,3,WalkingGesture,Positive,-1.61,0.51,10.17,5.19,-2.75,-1.12,307.81,-7.88,-2.13,-0.23,0.44,0.34
265,3,WalkingGesture,Positive,-1.44,0.91,9.97,2.00,-5.75,0.69,307.81,-7.75,-2.13,-0.10,0.39,0.31
285,3,WalkingGesture,Positive,-1.47,0.55,10.07,-5.81,-6.88,1.81,307.75,-7.63,-2.00,-0.16,-0.23,0.33
305,3,WalkingGesture,Positive,-1.47,-0.17,10.04,-6.13,-8.75,2.81,307.69,-7.44,-1.94,-0.21,-0.57,0.34
325,3,WalkingGesture,Positive,-1.46,-0.09,9.98,2.31,-10.50,3.25,307.63,-7.25,-2.00,-0.08,-0.10,0.12
345,3,WalkingGesture,Positive,-1.34,0.29,9.78,6.69,-11.50,4.06,307.56,-7.00,-2.13,-0.14,0.00,0.00
365,3,WalkingGesture,Positive,-1.33,0.41,9.68,6.06,-11.88,4.63,307.50,-6.75,-2.25,-0.27,-0.04,0.04
385,3,WalkingGesture,Positive,-1.50,0.25,9.84,3.44,-12.38,4.38,307.44,-6.50,-2.38,-0.46,-0.15,0.14
405,3,WalkingGesture,Positive,-1.59,0.78,9.63,5.44,-14.50,4.00,307.38,-6.25,-2.44,-0.39,0.30,-0.04
426,3,WalkingGesture,Positive,-1.47,0.59,9.77,0.37,-16.69,4.38,307.31,-5.94,-2.44,-0.48,0.15,0.08
445,3,WalkingGesture,Positive,-1.54,0.33,9.89,-0.31,-16.81,4.44,307.19,-5.56,-2.50,-0.38,-0.40,0.03
466,3,WalkingGesture,Positive,-1.50,-0.06,9.82,7.38,-18.06,4.13,307.19,-5.25,-2.69,-0.74,0.08,0.30
485,3,WalkingGesture,Positive,-1.58,0.88,10.04,19.06,-20.00,3.81,307.13,-4.81,-3.06,-0.86,0.41,0.28
505,3,WalkingGesture,Positive,-1.53,0.81,10.12,22.37,-22.94,6.75,307.00,-4.38,-3.56,-0.91,0.57,0.07
526,3,WalkingGesture,Positive,-1.54,1.27,9.88,25.31,-24.62,8.63,306.81,-3.88,-4.06,-0.46,0.72,-0.25
545,3,WalkingGesture,Positive,-0.95,1.63,9.33,22.81,-28.00,11.81,306.63,-3.31,-4.44,-0.30,0.67,-0.29
566,3,WalkingGesture,Positive,-0.80,1.33,9.53,15.06,-27.12,13.31,306.38,-2.75,-4.75,-0.37,0.53,-0.08
586,3,WalkingGesture,Positive,-1.08,1.27,9.52,16.37,-25.81,14.50,306.13,-2.25,-5.13,-0.74,0.21,-0.30
606,3,WalkingGesture,Positive,-1.30,1.07,9.38,23.62,-25.81,14.06,305.94,-1.88,-5.69,-0.97,0.00,-0.57
626,3,WalkingGesture,Positive,-0.90,1.13,8.70,37.31,-28.37,15.56,305.63,-1.25,-6.44,-0.41,0.21,-0.91
646,3,WalkingGesture,Positive,-0.29,1.77,8.71,41.06,-28.12,19.56,305.31,-0.69,-7.25,-0.31,0.62,-0.57
666,3,WalkingGesture,Positive,-0.26,1.90,9.23,34.31,-24.44,21.19,304.94,-0.19,-7.88,-0.40,0.61,-0.60
687,3,WalkingGesture,Positive,-0.50,1.73,9.03,30.62,-20.25,20.56,304.56,0.19,-8.50,-0.68,-0.27,-0.48
706,3,WalkingGesture,Positive,-0.63,1.29,9.05,37.75,-18.94,20.19,304.19,0.56,-9.25,-0.69,-0.15,-0.66
727,3,WalkingGesture,Positive,-0.61,1.47,8.85,50.06,-17.56,18.94,303.88,1.00,-10.31,-0.68,0.00,-0.93
747,3,WalkingGesture,Positive,-0.34,1.96,8.52,61.25,-14.94,17.75,303.50,1.31,-11.50,-0.43,0.13,-1.44
767,3,WalkingGesture,Positive,-0.03,2.24,8.47,66.87,-9.38,17.06,303.19,1.50,-12.81,-0.26,0.35,-1.28
787,3,WalkingGesture,Positive,0.23,2.54,8.14,68.81,-3.75,17.31,302.81,1.63,-14.13,0.07,0.00,-1.34
807,3,WalkingGesture,Positive,0.47,2.26,8.13,63.25,3.63,17.19,302.50,1.63,-15.31,0.34,-0.29,-1.37
827,3,WalkingGesture,Positive,0.76,2.16,8.25,58.38,9.50,14.94,302.19,1.50,-16.44,0.59,-0.58,-1.11
846,3,WalkingGesture,Positive,0.89,2.16,8.50,53.56,17.00,11.94,301.88,1.19,-17.44,0.75,-0.76,-0.97
867,3,WalkingGesture,Positive,1.07,2.11,8.61,50.25,23.69,9.31,301.63,0.81,-18.44,0.77,-1.08,-0.60
886,3,WalkingGesture,Positive,0.93,2.00,8.74,51.69,30.50,4.94,301.44,0.25,-19.44,0.82,-1.38,-0.41
907,3,WalkingGesture,Positive,0.93,1.84,8.63,52.88,35.50,1.50,301.31,-0.37,-20.44,1.19,-1.81,-0.86
927,3,WalkingGesture,Positive,1.14,1.27,8.32,51.94,39.94,-2.88,301.25,-1.12,-21.50,1.43,-2.43,-1.07
947,3,WalkingGesture,Positive,1.39,0.91,7.89,55.75,44.94,-10.69,301.31,-2.06,-22.56,1.71,-2.76,-1.27
967,3,WalkingGesture,Positive,1.32,1.24,7.56,59.88,51.94,-19.87,301.56,-3.19,-23.69,1.81,-2.61,-1.25
988,3,WalkingGesture,Positive,0.89,1.95,7.96,57.38,60.44,-29.25,301.94,-4.56,-24.81,1.37,-1.93,-0.57
1007,3,WalkingGesture,Positive,0.27,2.51,8.27,49.31,67.69,-37.38,302.50,-6.06,-25.69,1.10,-1.34,-0.95
1028,3,WalkingGesture,Positive,-0.42,2.39,8.42,32.13,71.50,-44.06,303.06,-7.75,-26.25,0.65,-1.94,-0.60
1047,3,WalkingGesture,Positive,-0.74,2.27,7.93,24.62,71.56,-50.50,303.81,-9.44,-26.62,0.37,-2.47,-0.04
1068,3,WalkingGesture,Positive,-1.46,1.93,8.33,26.06,71.50,-55.75,304.63,-11.13,-27.12,0.41,-2.34,-0.17
1088,3,WalkingGesture,Positive,-1.62,2.08,9.03,35.88,70.81,-61.25,305.56,-12.94,-27.87,-0.03,-1.05,0.25
1108,3,WalkingGesture,Positive,-2.47,3.97,9.09,49.56,70.56,-65.75,306.63,-14.75,-28.69,-0.49,-0.31,1.54
1128,3,WalkingGesture,Positive,-3.61,4.90,9.71,47.81,70.44,-67.44,307.75,-16.56,-29.37,-1.21,1.34,0.48
1148,3,WalkingGesture,Positive,-4.03,5.41,8.62,25.25,63.31,-67.00,308.81,-18.19,-29.56,-0.89,0.29,0.23
1168,3,WalkingGesture,Positive,-3.63,3.93,8.66,4.13,58.31,-66.44,309.81,-19.81,-29.44,-0.46,-0.79,0.59
1188,3,WalkingGesture,Positive,-3.58,3.73,8.78,0.12,56.31,-68.06,310.88,-21.44,-29.19,-0.13,-0.45,1.55
1208,3,WalkingGesture,Positive,-4.55,4.86,8.86,6.31,59.00,-69.31,311.94,-23.06,-29.06,-0.78,0.43,0.71
1228,3,WalkingGesture,Positive,-4.81,4.37,9.02,0.31,59.00,-68.56,313.00,-24.69,-28.81,-1.18,-0.13,0.41
1248,3,WalkingGesture,Positive,-5.34,3.80,8.01,3.88,53.56,-64.81,314.00,-26.19,-28.62,-0.81,-0.76,0.24
1268,3,WalkingGesture,Positive,-5.03,3.27,7.88,8.06,48.06,-61.25,315.00,-27.56,-28.50,0.00,-1.02,0.26
1288,3,WalkingGesture,Positive,-4.50,3.06,8.34,13.31,45.63,-61.06,316.06,-28.94,-28.50,-0.10,-0.49,1.11
1308,3,WalkingGesture,Positive,-4.75,4.01,7.95,22.87,46.44,-63.19,317.19,-30.31,-28.50,-0.51,0.30,0.86
1329,3,WalkingGesture,Positive,-5.57,4.74,7.66,17.31,48.88,-64.19,318.31,-31.75,-28.37,-0.37,0.60,0.01
1348,3,WalkingGesture,Positive,-5.48,3.68,7.21,3.50,49.13,-62.81,319.31,-33.13,-28.06,-0.07,-0.42,-0.15
1369,3,WalkingGesture,Positive,-5.64,3.13,7.23,-1.06,48.81,-63.00,320.31,-34.56,-27.62,-0.01,-0.66,0.07
1388,3,WalkingGesture,Positive,-5.80,3.10,7.85,2.00,49.38,-63.00,321.38,-36.00,-27.25,-0.40,-0.30,0.36
1409,3,WalkingGesture,Positive,-6.19,3.33,7.18,11.25,51.06,-63.63,322.44,-37.44,-27.00,-0.34,-0.72,0.04
1429,3,WalkingGesture,Positive,-6.50,2.77,6.67,13.63,51.06,-63.63,323.56,-38.88,-26.75,-0.37,-0.81,-0.12
1449,3,WalkingGesture,Positive,-6.49,2.51,6.53,14.88,48.63,-64.37,324.75,-40.25,-26.44,0.10,-1.24,-0.27
1469,3,WalkingGesture,Positive,-6.19,2.04,6.46,17.31,48.44,-65.56,326.00,-41.69,-26.19,0.36,-1.00,-0.27
1489,3,WalkingGesture,Positive,-6.20,2.39,6.28,22.19,51.63,-69.00,327.31,-43.19,-25.94,0.03,-0.77,-0.42
1509,3,WalkingGesture,Positive,-6.81,2.40,5.90,23.81,57.25,-72.62,328.69,-44.81,-25.62,-0.16,-0.85,-0.35
1529,3,WalkingGesture,Positive,-7.29,2.07,5.63,28.06,60.25,-72.44,330.13,-46.50,-25.44,-0.18,-0.59,-0.72
1549,3,WalkingGesture,Positive,-8.19,2.55,5.76,29.81,66.56,-74.56,331.63,-48.31,-25.19,-0.43,-0.79,-0.38
1569,3,WalkingGesture,Positive,-7.90,1.61,5.23,33.13,67.06,-73.81,333.19,-50.19,-24.94,-0.48,-0.95,-0.36
1590,3,WalkingGesture,Positive,-7.93,1.68,5.07,34.38,76.62,-82.56,334.88,-52.13,-24.56,-0.27,-0.97,-0.48
1609,3,WalkingGesture,Positive,-8.31,1.06,4.81,35.63,79.44,-84.06,336.63,-54.25,-24.12,-0.57,-1.50,-0.51
1630,3,WalkingGesture,Positive,-8.82,0.67,4.74,43.06,85.87,-90.31,338.63,-56.50,-23.62,-1.11,-1.96,-0.10
1649,3,WalkingGesture,Positive,-9.49,-0.25,4.91,57.88,85.62,-91.69,340.88,-58.75,-23.37,-1.38,-1.61,0.12
1670,3,WalkingGesture,Positive,-10.32,1.20,4.69,78.94,85.19,-94.81,343.44,-60.94,-23.06,-1.95,0.00,0.19
1689,3,WalkingGesture,Positive,-10.75,1.73,4.84,75.75,77.50,-96.19,346.00,-63.06,-22.44,-2.05,0.13,0.72
1710,3,WalkingGesture,Positive,-11.05,2.12,4.58,73.87,74.19,-95.31,348.56,-65.06,-21.37,-2.19,0.71,0.79
1730,3,WalkingGesture,Positive,-11.64,2.84,5.02,62.50,57.13,-85.81,351.00,-66.81,-19.87,-1.93,0.27,0.98
1750,3,WalkingGesture,Positive,-11.06,0.78,5.01,72.37,52.31,-78.44,353.44,-68.25,-18.75,-1.75,0.32,1.01
1770,3,WalkingGesture,Positive,-10.99,3.18,4.54,88.37,46.00,-76.81,355.94,-69.50,-17.50,-1.33,2.29,1.15
1790,3,WalkingGesture,Positive,-9.73,1.74,4.40,78.12,32.38,-54.25,358.00,-70.37,-16.69,-0.97,1.07,1.37
1810,3,WalkingGesture,Positive,-9.96,3.07,4.20,78.94,29.37,-52.00,0.00,-71.19,-15.88,-0.22,2.77,0.85
1829,3,WalkingGesture,Positive,-9.23,3.54,3.91,58.75,23.00,-43.75,1.56,-71.81,-14.94,0.14,2.72,0.85
1850,3,WalkingGesture,Positive,-9.07,3.28,3.95,34.44,24.75,-37.50,2.63,-72.44,-13.75,0.63,2.17,1.15
1870,3,WalkingGesture,Positive,-8.55,2.73,3.96,19.69,24.50,-33.94,3.50,-73.06,-12.44,0.74,1.97,1.31
1890,3,WalkingGesture,Positive,-8.99,2.39,4.16,9.63,26.50,-32.06,4.25,-73.69,-10.88,0.18,1.75,1.59
1910,3,WalkingGesture,Positive,-9.41,2.15,4.37,9.13,24.00,-30.56,4.94,-74.25,-9.44,-0.11,1.76,1.79
1930,3,WalkingGesture,Positive,-9.51,2.54,4.47,19.56,20.31,-26.69,5.75,-74.69,-8.31,0.10,2.41,1.97
1950,3,WalkingGesture,Positive,-9.26,3.12,4.64,28.62,17.06,-20.06,6.50,-75.06,-7.81,0.21,3.16,2.12
1971,3,WalkingGesture,Positive,-9.43,4.24,4.40,28.37,11.94,-9.31,7.00,-75.25,-7.94,-0.06,4.08,1.92
1990,3,WalkingGesture,Positive,-9.68,4.53,4.40,15.00,4.56,4.81,7.00,-75.25,-8.88,-0.36,4.19,1.90
2011,3,WalkingGesture,Positive,-10.02,4.66,4.46,-0.44,-2.88,21.87,6.44,-75.12,-10.63,-0.54,4.17,1.91
2030,3,WalkingGesture,Positive,-10.00,4.75,4.22,-16.37,-10.56,39.31,5.31,-74.69,-13.06,-0.35,4.13,1.64
2051,3,WalkingGesture,Positive,-9.69,4.65,4.03,-34.69,-15.06,54.63,3.63,-74.12,-16.00,-0.21,3.70,1.43
